date,prediction,actual_return,strategy_return,daily_volume,position,cumulative_value,price,is_switch,open,signal,price_return
2018-04-17 10:40:00,-0.000810887502948224,-0.0008032128514056103,-0.0,0,0.0,1.0,4980.0,False,4980.0,-1.0,-0.0008032128514056103
2018-04-17 11:25:00,-5.670974755420219e-05,-0.002813504823151125,0.002813504823151125,1,-1.0,1.002813504823151,4976.0,False,4976.0,-1.0,-0.002813504823151125
2018-04-17 14:10:00,0.001000939249299652,0.0016122531237403592,-0.0016122531237403592,0,-1.0,1.0012012516994107,4962.0,False,4962.0,0.0,0.0016122531237403592
2018-04-17 14:55:00,0.00025515155926386385,0.005231388329979936,0.0,1,0.0,1.0012012516994107,4970.0,False,4970.0,0.0,0.005231388329979936
2018-04-17 21:35:00,1.5657957204794353e-05,-0.0004003202562049557,-0.0,1,0.0,1.0012012516994107,4996.0,False,4996.0,0.0,-0.0004003202562049557
2018-04-18 09:40:00,-0.0002958895219972807,-0.00040048057669206383,-0.0,0,0.0,1.0012012516994107,4994.0,False,4994.0,0.0,-0.00040048057669206383
2018-04-18 10:40:00,-0.0008082056040487166,0.0024038461538462563,0.0,1,0.0,1.0012012516994107,4992.0,False,4992.0,-1.0,0.0024038461538462563
2018-04-18 11:25:00,-3.0152671182261765e-05,-0.001998401278976769,0.001998401278976769,1,-1.0,1.0031996529783875,5004.0,False,5004.0,-1.0,-0.001998401278976769
2018-04-18 14:10:00,0.0010106706409259566,0.0004004805766919528,-0.0004004805766919528,0,-1.0,1.0027991724016956,4994.0,False,4994.0,0.0,0.0004004805766919528
2018-04-18 14:55:00,0.0002065383452370135,0.0020016012810248895,0.0,1,0.0,1.0027991724016956,4996.0,False,4996.0,0.0,0.0020016012810248895
2018-04-18 21:35:00,-1.4258080045101906e-06,0.0007990411506193507,0.0,1,0.0,1.0027991724016956,5006.0,False,5006.0,0.0,0.0007990411506193507
2018-04-19 09:40:00,-0.00028158976991506633,0.0011976047904191933,0.0,1,0.0,1.0027991724016956,5010.0,False,5010.0,0.0,0.0011976047904191933
2018-04-19 10:40:00,-0.000817553201984273,0.0,0.0,1,0.0,1.0027991724016956,5016.0,False,5016.0,-1.0,0.0
2018-04-19 11:25:00,-5.3838506536219065e-05,-0.0015948963317384823,0.0015948963317384823,0,-1.0,1.004394068733434,5016.0,False,5016.0,-1.0,-0.0015948963317384823
2018-04-19 14:10:00,0.000996154706172454,0.0003993610223642641,-0.0003993610223642641,0,-1.0,1.0039947077110698,5008.0,False,5008.0,0.0,0.0003993610223642641
2018-04-19 14:55:00,0.00019220703555782037,0.0011976047904191933,0.0,1,0.0,1.0039947077110698,5010.0,False,5010.0,0.0,0.0011976047904191933
