trial,score,cv_score,mac,n_factors,optional,all_factors
32,7.060831111465669,7.078971095336047,0.07255993548151132,20,x_volume_acceleration|x_kyle_lambda_lag|x_ma_bar_ret|x_spread_8h|x_ma_ret_1h|x_skewness|x_p_ret_20h|x_stoch_k|x_momentum_20d|x_price_ma250_dev|x_market_depth_imbalance|x_volatility_ratio|x_kurtosis|x_price_impact|x_volume_ma_ratio|x_volume_momentum|x_boll_lower|x_price_volume_trend|x_open_interest|x_liquidity_indicator,x_volume_acceleration|x_kyle_lambda_lag|x_ma_bar_ret|x_spread_8h|x_ma_ret_1h|x_skewness|x_p_ret_20h|x_stoch_k|x_momentum_20d|x_price_ma250_dev|x_market_depth_imbalance|x_volatility_ratio|x_kurtosis|x_price_impact|x_volume_ma_ratio|x_volume_momentum|x_boll_lower|x_price_volume_trend|x_open_interest|x_liquidity_indicator
38,6.980586015149945,7.002162076456956,0.08630424522804192,20,x_volume_acceleration|x_hurst_exponent|x_kyle_lambda_lag|x_volume_profile_fast|x_ma_afternoon_ret|x_ma_bar_ret|x_p_ret_6h|x_price_reversal_1d|x_ma_ret_8h|x_skewness|x_stoch_k|x_momentum_20d|x_price_ma250_dev|x_volatility_ratio|x_kurtosis|x_price_impact|x_boll_lower|x_parkinson_volatility|x_price_volume_trend|x_liquidity_indicator,x_volume_acceleration|x_hurst_exponent|x_kyle_lambda_lag|x_volume_profile_fast|x_ma_afternoon_ret|x_ma_bar_ret|x_p_ret_6h|x_price_reversal_1d|x_ma_ret_8h|x_skewness|x_stoch_k|x_momentum_20d|x_price_ma250_dev|x_volatility_ratio|x_kurtosis|x_price_impact|x_boll_lower|x_parkinson_volatility|x_price_volume_trend|x_liquidity_indicator
40,6.881873903305081,6.900148700101811,0.07309918718691845,19,x_volume_acceleration|x_kyle_lambda_lag|x_ma_bar_ret|x_spread_8h|x_ma_ret_1h|x_p_ret_20h|x_stoch_k|x_momentum_20d|x_price_ma250_dev|x_market_depth_imbalance|x_volatility_ratio|x_kurtosis|x_price_impact|x_turnover|x_volume_momentum|x_boll_lower|x_price_volume_trend|x_open_interest|x_liquidity_indicator,x_volume_acceleration|x_kyle_lambda_lag|x_ma_bar_ret|x_spread_8h|x_ma_ret_1h|x_p_ret_20h|x_stoch_k|x_momentum_20d|x_price_ma250_dev|x_market_depth_imbalance|x_volatility_ratio|x_kurtosis|x_price_impact|x_turnover|x_volume_momentum|x_boll_lower|x_price_volume_trend|x_open_interest|x_liquidity_indicator
34,6.646423363994082,6.666024970808665,0.07840642725832764,20,x_volume_acceleration|x_hurst_exponent|x_kyle_lambda_lag|x_ma_afternoon_ret|x_ma_bar_ret|x_p_ret_6h|x_price_reversal_1d|x_ma_ret_1h|x_skewness|x_stoch_k|x_momentum_20d|x_price_ma250_dev|x_market_depth_imbalance|x_volatility_ratio|x_kurtosis|x_price_impact|x_volume_ma_ratio|x_parkinson_volatility|x_price_volume_trend|x_liquidity_indicator,x_volume_acceleration|x_hurst_exponent|x_kyle_lambda_lag|x_ma_afternoon_ret|x_ma_bar_ret|x_p_ret_6h|x_price_reversal_1d|x_ma_ret_1h|x_skewness|x_stoch_k|x_momentum_20d|x_price_ma250_dev|x_market_depth_imbalance|x_volatility_ratio|x_kurtosis|x_price_impact|x_volume_ma_ratio|x_parkinson_volatility|x_price_volume_trend|x_liquidity_indicator
27,6.401973886569623,6.419048793257156,0.06829962675013103,21,x_volume_acceleration|x_kyle_lambda_lag|x_ma_bar_ret|x_spread_8h|x_price_reversal_1d|x_ma_ret_1h|x_skewness|x_stoch_k|x_momentum_20d|x_price_ma250_dev|x_market_depth_imbalance|x_volatility_ratio|x_kurtosis|x_price_impact|x_volume_ma_ratio|x_volume_momentum|x_boll_lower|x_parkinson_volatility|x_price_volume_trend|x_open_interest|x_liquidity_indicator,x_volume_acceleration|x_kyle_lambda_lag|x_ma_bar_ret|x_spread_8h|x_price_reversal_1d|x_ma_ret_1h|x_skewness|x_stoch_k|x_momentum_20d|x_price_ma250_dev|x_market_depth_imbalance|x_volatility_ratio|x_kurtosis|x_price_impact|x_volume_ma_ratio|x_volume_momentum|x_boll_lower|x_parkinson_volatility|x_price_volume_trend|x_open_interest|x_liquidity_indicator
35,6.400488911364626,6.420914064945913,0.08170061432515195,22,x_volume_acceleration|x_hurst_exponent|x_kyle_lambda_lag|x_volume_profile_fast|x_ma_afternoon_ret|x_ma_bar_ret|x_p_ret_6h|x_price_reversal_1d|x_ma_ret_1h|x_ma_ret_8h|x_skewness|x_stoch_k|x_momentum_20d|x_price_ma250_dev|x_market_depth_imbalance|x_volatility_ratio|x_kurtosis|x_price_impact|x_volume_ma_ratio|x_parkinson_volatility|x_price_volume_trend|x_liquidity_indicator,x_volume_acceleration|x_hurst_exponent|x_kyle_lambda_lag|x_volume_profile_fast|x_ma_afternoon_ret|x_ma_bar_ret|x_p_ret_6h|x_price_reversal_1d|x_ma_ret_1h|x_ma_ret_8h|x_skewness|x_stoch_k|x_momentum_20d|x_price_ma250_dev|x_market_depth_imbalance|x_volatility_ratio|x_kurtosis|x_price_impact|x_volume_ma_ratio|x_parkinson_volatility|x_price_volume_trend|x_liquidity_indicator
33,6.322660729743258,6.341397637633092,0.07494763155933787,18,x_volume_acceleration|x_hurst_exponent|x_kyle_lambda_lag|x_ma_bar_ret|x_p_ret_6h|x_price_reversal_1d|x_ma_ret_1h|x_stoch_k|x_momentum_20d|x_price_ma250_dev|x_market_depth_imbalance|x_volatility_ratio|x_kurtosis|x_price_impact|x_volume_ma_ratio|x_parkinson_volatility|x_price_volume_trend|x_liquidity_indicator,x_volume_acceleration|x_hurst_exponent|x_kyle_lambda_lag|x_ma_bar_ret|x_p_ret_6h|x_price_reversal_1d|x_ma_ret_1h|x_stoch_k|x_momentum_20d|x_price_ma250_dev|x_market_depth_imbalance|x_volatility_ratio|x_kurtosis|x_price_impact|x_volume_ma_ratio|x_parkinson_volatility|x_price_volume_trend|x_liquidity_indicator
26,6.251103204719202,6.267957227590588,0.06741609148554333,19,x_volume_acceleration|x_hurst_exponent|x_kyle_lambda_lag|x_price_reversal_1d|x_ma_ret_1h|x_skewness|x_stoch_k|x_momentum_20d|x_price_ma250_dev|x_market_depth_imbalance|x_volatility_ratio|x_kurtosis|x_price_impact|x_volume_ma_ratio|x_volume_momentum|x_parkinson_volatility|x_price_volume_trend|x_open_interest|x_liquidity_indicator,x_volume_acceleration|x_hurst_exponent|x_kyle_lambda_lag|x_price_reversal_1d|x_ma_ret_1h|x_skewness|x_stoch_k|x_momentum_20d|x_price_ma250_dev|x_market_depth_imbalance|x_volatility_ratio|x_kurtosis|x_price_impact|x_volume_ma_ratio|x_volume_momentum|x_parkinson_volatility|x_price_volume_trend|x_open_interest|x_liquidity_indicator
22,6.09075223516412,6.106455749842064,0.06281405871177526,18,x_volume_acceleration|x_hurst_exponent|x_kyle_lambda_lag|x_ma_afternoon_ret|x_gap_ratio|x_spread_8h|x_price_reversal_1d|x_ma_ret_1h|x_skewness|x_price_ma250_dev|x_price_impact|x_turnover|x_volume_ma_ratio|x_volume_momentum|x_parkinson_volatility|x_price_volume_trend|x_open_interest|x_liquidity_indicator,x_volume_acceleration|x_hurst_exponent|x_kyle_lambda_lag|x_ma_afternoon_ret|x_gap_ratio|x_spread_8h|x_price_reversal_1d|x_ma_ret_1h|x_skewness|x_price_ma250_dev|x_price_impact|x_turnover|x_volume_ma_ratio|x_volume_momentum|x_parkinson_volatility|x_price_volume_trend|x_open_interest|x_liquidity_indicator
28,6.009410535774408,6.028680525362679,0.07707995835308391,21,x_volume_acceleration|x_kyle_lambda_lag|x_ma_bar_ret|x_spread_8h|x_price_reversal_1d|x_skewness|x_p_ret_20h|x_stoch_k|x_momentum_20d|x_price_ma250_dev|x_market_depth_imbalance|x_volatility_ratio|x_kurtosis|x_price_impact|x_volume_ma_ratio|x_volume_momentum|x_boll_lower|x_parkinson_volatility|x_price_volume_trend|x_open_interest|x_liquidity_indicator,x_volume_acceleration|x_kyle_lambda_lag|x_ma_bar_ret|x_spread_8h|x_price_reversal_1d|x_skewness|x_p_ret_20h|x_stoch_k|x_momentum_20d|x_price_ma250_dev|x_market_depth_imbalance|x_volatility_ratio|x_kurtosis|x_price_impact|x_volume_ma_ratio|x_volume_momentum|x_boll_lower|x_parkinson_volatility|x_price_volume_trend|x_open_interest|x_liquidity_indicator
16,5.9273788194483785,5.942645396487943,0.06106630815825501,15,x_volume_acceleration|x_hurst_exponent|x_kyle_lambda_lag|x_ma_afternoon_ret|x_gap_ratio|x_price_reversal_1d|x_ma_ret_1h|x_skewness|x_stoch_k|x_price_ma250_dev|x_volume_ma_ratio|x_volume_momentum|x_parkinson_volatility|x_price_volume_trend|x_liquidity_indicator,x_volume_acceleration|x_hurst_exponent|x_kyle_lambda_lag|x_ma_afternoon_ret|x_gap_ratio|x_price_reversal_1d|x_ma_ret_1h|x_skewness|x_stoch_k|x_price_ma250_dev|x_volume_ma_ratio|x_volume_momentum|x_parkinson_volatility|x_price_volume_trend|x_liquidity_indicator
39,5.909898745973099,5.936358521689442,0.10583910286537035,17,x_volume_acceleration|x_volume_profile_fast|x_ma_afternoon_ret|x_ma_bar_ret|x_p_ret_6h|x_price_reversal_1d|x_ma_ret_8h|x_skewness|x_stoch_k|x_momentum_20d|x_price_ma250_dev|x_kurtosis|x_price_impact|x_boll_lower|x_parkinson_volatility|x_price_volume_trend|x_liquidity_indicator,x_volume_acceleration|x_volume_profile_fast|x_ma_afternoon_ret|x_ma_bar_ret|x_p_ret_6h|x_price_reversal_1d|x_ma_ret_8h|x_skewness|x_stoch_k|x_momentum_20d|x_price_ma250_dev|x_kurtosis|x_price_impact|x_boll_lower|x_parkinson_volatility|x_price_volume_trend|x_liquidity_indicator
25,5.71414855951177,5.731164368763741,0.06806323700788262,19,x_volume_acceleration|x_hurst_exponent|x_kyle_lambda_lag|x_ma_afternoon_ret|x_price_reversal_1d|x_ma_ret_1h|x_skewness|x_p_ret_20h|x_momentum_20d|x_price_ma250_dev|x_volatility_ratio|x_kurtosis|x_price_impact|x_volume_ma_ratio|x_volume_momentum|x_parkinson_volatility|x_price_volume_trend|x_open_interest|x_liquidity_indicator,x_volume_acceleration|x_hurst_exponent|x_kyle_lambda_lag|x_ma_afternoon_ret|x_price_reversal_1d|x_ma_ret_1h|x_skewness|x_p_ret_20h|x_momentum_20d|x_price_ma250_dev|x_volatility_ratio|x_kurtosis|x_price_impact|x_volume_ma_ratio|x_volume_momentum|x_parkinson_volatility|x_price_volume_trend|x_open_interest|x_liquidity_indicator
30,5.545911713928114,5.566663711311482,0.08300798953347113,22,x_volume_acceleration|x_kyle_lambda_lag|x_ma_afternoon_ret|x_ma_bar_ret|x_spread_8h|x_price_reversal_1d|x_ma_ret_1h|x_skewness|x_stoch_k|x_momentum_20d|x_ease_of_movement|x_price_ma250_dev|x_market_depth_imbalance|x_amihud_volatility|x_volatility_ratio|x_kurtosis|x_volume_momentum|x_boll_lower|x_parkinson_volatility|x_price_volume_trend|x_open_interest|x_liquidity_indicator,x_volume_acceleration|x_kyle_lambda_lag|x_ma_afternoon_ret|x_ma_bar_ret|x_spread_8h|x_price_reversal_1d|x_ma_ret_1h|x_skewness|x_stoch_k|x_momentum_20d|x_ease_of_movement|x_price_ma250_dev|x_market_depth_imbalance|x_amihud_volatility|x_volatility_ratio|x_kurtosis|x_volume_momentum|x_boll_lower|x_parkinson_volatility|x_price_volume_trend|x_open_interest|x_liquidity_indicator
19,5.533652081939015,5.54734106902267,0.05475594833461854,16,x_volume_acceleration|x_hurst_exponent|x_kyle_lambda_lag|x_ma_afternoon_ret|x_gap_ratio|x_price_reversal_1d|x_ma_ret_1h|x_skewness|x_price_ma250_dev|x_price_impact|x_volume_ma_ratio|x_volume_momentum|x_parkinson_volatility|x_price_volume_trend|x_open_interest|x_liquidity_indicator,x_volume_acceleration|x_hurst_exponent|x_kyle_lambda_lag|x_ma_afternoon_ret|x_gap_ratio|x_price_reversal_1d|x_ma_ret_1h|x_skewness|x_price_ma250_dev|x_price_impact|x_volume_ma_ratio|x_volume_momentum|x_parkinson_volatility|x_price_volume_trend|x_open_interest|x_liquidity_indicator
20,5.5175712938750205,5.532717408032314,0.060584456629172875,18,x_volume_acceleration|x_trend_strength|x_hurst_exponent|x_kyle_lambda_lag|x_ma_afternoon_ret|x_gap_ratio|x_spread_8h|x_price_reversal_1d|x_price_channel_breakout|x_skewness|x_price_ma250_dev|x_price_impact|x_volume_ma_ratio|x_volume_momentum|x_parkinson_volatility|x_price_volume_trend|x_open_interest|x_liquidity_indicator,x_volume_acceleration|x_trend_strength|x_hurst_exponent|x_kyle_lambda_lag|x_ma_afternoon_ret|x_gap_ratio|x_spread_8h|x_price_reversal_1d|x_price_channel_breakout|x_skewness|x_price_ma250_dev|x_price_impact|x_volume_ma_ratio|x_volume_momentum|x_parkinson_volatility|x_price_volume_trend|x_open_interest|x_liquidity_indicator
11,5.4293549175371,5.4465522349493645,0.06878926964905997,13,x_volume_acceleration|x_hurst_exponent|x_kyle_lambda_lag|x_ma_afternoon_ret|x_gap_ratio|x_skewness|x_p_ret_20h|x_stoch_k|x_price_ma250_dev|x_volume_ma_ratio|x_volume_momentum|x_price_volume_trend|x_liquidity_indicator,x_volume_acceleration|x_hurst_exponent|x_kyle_lambda_lag|x_ma_afternoon_ret|x_gap_ratio|x_skewness|x_p_ret_20h|x_stoch_k|x_price_ma250_dev|x_volume_ma_ratio|x_volume_momentum|x_price_volume_trend|x_liquidity_indicator
21,5.40570781338358,5.427406616579805,0.08679521278490215,17,x_hurst_exponent|x_kyle_lambda_lag|x_ma_bar_ret|x_gap_ratio|x_p_ret_6h|x_price_reversal_1d|x_ma_ret_1h|x_skewness|x_momentum_20d|x_price_ma250_dev|x_price_impact|x_volume_ma_ratio|x_volume_momentum|x_parkinson_volatility|x_price_volume_trend|x_open_interest|x_liquidity_indicator,x_hurst_exponent|x_kyle_lambda_lag|x_ma_bar_ret|x_gap_ratio|x_p_ret_6h|x_price_reversal_1d|x_ma_ret_1h|x_skewness|x_momentum_20d|x_price_ma250_dev|x_price_impact|x_volume_ma_ratio|x_volume_momentum|x_parkinson_volatility|x_price_volume_trend|x_open_interest|x_liquidity_indicator
18,5.262174679958922,5.281141890319729,0.07586884144322915,14,x_volume_acceleration|x_hurst_exponent|x_kyle_lambda_lag|x_ma_afternoon_ret|x_gap_ratio|x_price_acceleration|x_ma_ret_1h|x_skewness|x_stoch_k|x_ease_of_movement|x_price_ma250_dev|x_volume_momentum|x_parkinson_volatility|x_price_volume_trend,x_volume_acceleration|x_hurst_exponent|x_kyle_lambda_lag|x_ma_afternoon_ret|x_gap_ratio|x_price_acceleration|x_ma_ret_1h|x_skewness|x_stoch_k|x_ease_of_movement|x_price_ma250_dev|x_volume_momentum|x_parkinson_volatility|x_price_volume_trend
36,5.215582089073301,5.235170870247958,0.07835512469862865,25,x_volume_acceleration|x_hurst_exponent|x_kyle_lambda_lag|x_volume_profile_fast|x_ma_afternoon_ret|x_ma_bar_ret|x_gap_ratio|x_p_ret_6h|x_price_reversal_1d|x_ma_ret_1h|x_ma_ret_8h|x_skewness|x_stoch_k|x_momentum_20d|x_price_ma250_dev|x_market_depth_imbalance|x_volatility_ratio|x_kurtosis|x_price_impact|x_volume_ma_ratio|x_amihud_illiquidity|x_parkinson_volatility|x_price_volume_trend|x_open_interest|x_liquidity_indicator,x_volume_acceleration|x_hurst_exponent|x_kyle_lambda_lag|x_volume_profile_fast|x_ma_afternoon_ret|x_ma_bar_ret|x_gap_ratio|x_p_ret_6h|x_price_reversal_1d|x_ma_ret_1h|x_ma_ret_8h|x_skewness|x_stoch_k|x_momentum_20d|x_price_ma250_dev|x_market_depth_imbalance|x_volatility_ratio|x_kurtosis|x_price_impact|x_volume_ma_ratio|x_amihud_illiquidity|x_parkinson_volatility|x_price_volume_trend|x_open_interest|x_liquidity_indicator
