datetime,open,high,low,y_close,x_volume,x_turnover,x_open_interest,x_delta,x_buy_vol,x_sell_vol,x_vwap_pv,x_bvwap_pv,x_bvwap_v,x_delta_l2,x_buy_vol_l2,x_sell_vol_l2,bar_period,dominant_id,trading_date,x_ma5_60min,x_ma20_60min,x_ma60_60min,x_ma5_ma20_60min,x_ma20_ma60_60min,x_price_ma250_dev_60min,x_return_1_60min,x_log_return_1_60min,x_mom5_60min,x_mom20_60min,x_snr_60min,x_price_accel_60min,x_price_reversal_60min,x_intraday_return_60min,x_gap_ratio_60min,x_overnight_return_60min,x_volatility_60min,x_realized_vol_60min,x_atr_60min,x_intraday_vol_60min,x_parkinson_vol_60min,x_vol_ratio_10_30_60min,x_overnight_vol_60min,x_price_jump_60min,x_rsi14_60min,x_macd_60min,x_macd_signal_60min,x_macd_hist_60min,x_stoch_k_60min,x_stoch_d_60min,x_cci_60min,x_adx_60min,x_williams_r_60min,x_aroon_osc_60min,x_trix_60min,x_ultosc_60min,x_sar_diff_60min,x_boll_pos_60min,x_boll_upper_60min,x_boll_lower_60min,x_roc_60min,x_keltner_pos_60min,x_donchian_pos_60min,x_close_pos_ratio_60min,x_price_channel_breakout_60min,x_skew_60min,x_kurtosis_60min,x_hurst_60min,x_fractal_dim_60min,x_high_low_ratio_60min,x_bid_ask_proxy_60min,x_liquidity_60min,x_price_impact_60min,x_market_depth_imbalance_60min,x_vol_mom_60min,x_rel_vol_60min,x_vol_ma_ratio_60min,x_vol_accel_60min,x_vol_change_rate_60min,x_vol_price_corr_60min,x_pvt_60min,x_vol_weighted_return_60min,x_money_flow_ratio_60min,x_ease_of_movement_60min,x_obv_60min,x_mfi_60min,x_chaikin_osc_60min,x_ad_line_60min,x_volume_profile_60min,x_vwap_60min,x_vwap_dev_60min,x_vwap_slope_60min,x_bvwap_60min,x_bvwap_dev_60min,x_bvwap_slope_60min,x_cvd_60min,x_price_delta_60min,x_price_delta_volume_60min,x_price_delta_trend_60min,x_ofi_60min,x_effort_vs_result_60min,x_distribute_60min,x_trend_60min,x_trend1_60min,x_absorption_60min,x_break_position_60min,x_vol_ratio_60min,x_trend_break_60min,x_trend_break2_60min,x_trend_break_watch_60min,x_vpin_60min,x_vpin_zscore_60min,x_vpin_zscore_filtered_60min,x_delta_x_vpin_60min,x_ad_60min,x_qstick_60min,x_sharpe_60min,x_rvi_60min,x_klinger_60min,x_linearreg_ma_60min
2026-02-09 22:00:00,9016.0,9016.0,8914.0,8926.0,95373.0,8.5475077e+09,435383,-11410.081,39847.96,51258.04,854741672.0,12440984976.0,1387890.0,-8301.0,23745.0,32046.0,22:00,P2605,2026-02-10,,,,,,0.0,,,,,,,,-0.009982253,,,,,,0.011377689,,,,0,,,,,,,,,,,,,,,,,,,,0.11764706,0,,,,,,,,,,,,,,,,,,,,95373.0,,,-72932.29411764705,,89621.88,,,8963.956059918293,,,-11410.081,,,,-0.1252396,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,-0.0,,,,,,
2026-02-09 23:00:00,8928.0,8990.0,8924.0,8974.0,56919.0,5.1003407e+09,428982,5857.811,30091.406,24233.594,510029640.0,13534481880.0,1511162.0,-269.0,15606.0,15875.0,23:00,P2605,2026-02-10,,,,,,0.2681564245810056,0.005377531,0.0053631235,,,,,-0.005377531,0.00515233,0.00022406453,0.00022406453,,,,0.0073685306,,,0.00022408833,0,,,,,,,,,,,,,0.006685981724983285,,,,,,,0.75757575,0,,,,,,,,,,,,,,-0.40319586,,306.08368,,,,152292.0,,,-43610.38502673796,,89607.0,,,8959.986525250322,,,-5552.27,31.50056,1.7929804e+06,31.50056,0.10782904,11590.961,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,,,,,,
2026-02-10 00:00:00,8974.0,8974.0,8974.0,8974.0,0.0,0.0,428982,0.0,0.0,0.0,0.0,2001382.0,223.0,0.0,0.0,0.0,00:00,P2605,2026-02-10,,,,,,0.17861129716454566,0.0,0.0,,,,,-0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0,,,,,,,,,,,,,0.00651660352128366,,,,,,,,0,,,,,,,,,,,,,,-1.0,,306.08368,,,,152292.0,,,-43610.38502673796,,,,,8959.98766519216,,,-5552.27,0.0,0.0,31.50056,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,,0.0,,,,,
2026-02-10 09:30:00,8990.0,8996.0,8964.0,8978.0,30860.0,2.77192e+09,431079,1263.3038,15106.152,13842.848,277189412.0,4241001954.0,472205.0,-1399.0,7079.0,8478.0,09:30,P2605,2026-02-10,,,,,,0.16735468035256054,0.00044572353,0.00044562426,,,,,-0.00044572353,-0.0013348165,0.0017829285,0.0017829285,,,,0.0035634849,,,0.0017813067,0,,,,,,,,,,,,,0.006793316997103895,,,,,,,0.4375,0,,,,,,,,,,,,,,inf,,319.8387,,,,183152.0,,,-47467.88502673796,,89822.42,,,8962.968842170205,,,-4288.9663,0.56308424,17376.78,32.063644,0.043638974,2524.3574,0.0,0.0,0.0,0.0,,,0.0,,,0.013963658608269416,,0.0,17.64034344263929,0.0,,,,,
2026-02-10 10:45:00,8978.0,9016.0,8976.0,9008.0,39334.0,3.5402476e+09,428857,6814.979,22300.49,15485.511,354024788.0,10134440624.0,1126131.0,2416.0,12214.0,9798.0,10:45,P2605,2026-02-10,8972.0,,,,,0.4012483281319661,0.0033415556,0.003335985,,,,,-0.0033415556,0.0033415013,0.0,0.0,,,,0.004446382,,,0.0,0,,,,,,,,,,,,,0.009750309058614338,,,,,,,0.8,0,,,,,,,,,,,,,,0.2745949,,451.27545,,,,222486.0,,,-23867.485026737962,,90004.766,,,8972.076690491907,,1.9223578067112248,2526.0127,22.77263,895738.6,54.836273,0.18035726,13539.473,0.0,0.0,0.0,0.0,,,0.0,,,0.11468635834198973,,0.0,781.5851241351285,0.0,,,,,
2026-02-10 13:45:00,9010.0,9014.0,8932.0,9002.0,89569.0,8.039122e+09,427252,1135.7561,43169.88,42034.12,803875718.0,12477591836.0,1390864.0,-327.0,26690.0,27017.0,13:45,P2605,2026-02-10,8987.2,,,,,0.27848947309791694,-0.0006660819,-0.00066630385,0.008514404,,,,0.0006660819,-0.00088790234,0.00022202487,0.00022202487,,,,0.009138541,,,0.00022194305,0,,,,,,,,,,,,,0.008451559315707333,,,,,,,0.85365856,0,,,,,,,,,,,,,,1.2771394,,391.61517,,,,132917.0,,,39486.1979000913,,89753.4,,,8971.848000033964,,3.5811974867025858,3661.7688,-0.75650656,-67759.54,54.079765,0.0133298645,2268.4902,0.0,0.0,0.0,0.0,,,0.0,,,0.04050591877136884,,0.0,46.00484447309029,0.0,,,,,
2026-02-10 14:45:00,9002.0,9002.0,8930.0,8936.0,53062.0,4.753853e+09,427406,-6274.0913,22109.455,28383.545,475386150.0,13494562708.0,1505859.0,-3659.0,13143.0,16802.0,14:45,P2605,2026-02-10,8979.6,,,,,-0.3917322207713593,-0.007331729,-0.0073587378,-0.004234433,,,-0.01270926,0.007331729,-0.0073317043,0.0,0.0,,,,0.00803039,,,0.0,0,,,,,,,,,,,,,-0.008952551477170993,,,,,,,0.083333336,0,,,,,,,,,,,,,-0.0043893456,-0.4075852,,2.5789795,,,,79855.0,,,-4732.135433242038,,89590.53,,,8969.714562528552,,2.833295253654942,-2612.3225,45.999935,2.4408485e+06,100.0797,-0.124256626,-12366.842,0.0,0.0,0.0,0.0,,,0.0,,,0.09406835121345707,,0.0,-590.1934247620953,0.0,,,,,
2026-02-10 15:00:00,8936.0,8948.0,8932.0,8940.0,16679.0,1.4911772e+09,424748,943.5204,8362.76,7419.2397,149118124.0,4154486120.0,464736.0,1020.0,5432.0,4412.0,15:00,P2605,2026-02-10,8972.8,,,,,-0.30388357634726365,0.00044763088,0.00044753074,-0.0037887096,,,0.00044763088,-0.00044763088,0.00044762756,0.0,0.0,,,,0.0017897554,,,0.0,0,,,,,,,,,,,,,-0.008308724832214839,,,,,,,0.5,0,,,,,,,,,,,,,0.3143304,-0.6856696,,10.045015,,,,96534.0,,,-4732.135433242038,,89404.48,,-125.0125,8967.925146359557,,0.7550480415346101,-1668.8021,0.42234886,7044.3564,100.502045,0.059784565,1885.3529,0.0,0.0,0.0,0.0,,,0.0,,,0.08624266034949404,,0.0,81.37170816038707,0.0,,,,,
2026-02-10 22:00:00,8912.0,8938.0,8902.0,8920.0,62776.0,5.600378e+09,428469,-3289.5566,27959.72,31249.28,560033818.0,11738908662.0,1315511.0,-3568.0,17032.0,20600.0,22:00,P2605,2026-02-11,8961.2,,,,,-0.46864539165364877,-0.0022371411,-0.0022396473,-0.0064602494,,,-0.0026828647,0.0022371411,0.0008976661,-0.003131991,-0.003131991,,,,0.004035901,,,-0.0031369007,0,,,,,,,,,,,,,-0.010380538116591924,,,,,,,0.5,0,,,,,,,,-0.27887442828553455,,,,,-inf,2.7637749,,-130.39375,,,,33758.0,,,-4732.135433242038,,89212.086,,-193.428125,8923.459144013239,,-10.115794663176638,-4958.359,7.3592024,461981.28,107.861244,-0.05555842,-6549.8076,0.0,0.0,0.0,0.0,,,0.0,,,0.13563159100143984,,0.0,-446.16780085732046,0.0,,,,,
2026-02-10 23:00:00,8920.0,8920.0,8888.0,8904.0,50781.0,4.5218683e+09,426930,-3628.1272,22575.436,26203.564,452181204.0,11766655316.0,1321124.0,-3196.0,12934.0,16130.0,23:00,P2605,2026-02-11,8940.4,,,,,-0.5828364708246883,-0.0017937422,-0.0017953529,-0.0115453005,,,-0.005135298,0.0017937422,-0.0017937219,0.0,0.0,,,,0.0035938933,,,0.0,0,,,,,,,,,,,,,-0.01169930637915547,,,,,,,0.5,0,,,,,,,,-0.21385575560622155,,,,,-0.46567112,-0.19107622,,-221.48178,,,,-17023.0,,14751.77268852475,-4732.135433242038,,89046.46,,-179.23203125,8914.985949135926,,-15.997952031140448,-8586.486,6.5079246,330478.9,114.36917,-0.07437891,-7230.316,0.0,0.0,0.0,0.0,,,0.0,,,0.16118490854071357,,0.0,-584.7993504653352,0.0,,,,,
