cluster_id,size,top_factor,best_res_ic_ir,candidates
1,7,x_ma_ret_20h,0.9914633776648747,x_ma_ret_20h | x_ma_ret_6h
2,7,x_open_interest_1,0.9712282063119537,x_open_interest_1 | x_open_interest
3,6,x_ma_ret_12h,1.506922129269329,x_ma_ret_12h | x_ma_ret_8h
4,2,x_amihud_volatility,0.7377903844164511,x_amihud_volatility | x_amihud_volatility_1
5,1,x_price_impact,0.7211472705539796,x_price_impact
6,2,x_fractal_dimension,0.7766556582342033,x_fractal_dimension | x_fractal_dimension_1
7,3,x_high_low_ratio,1.0914283775278566,x_high_low_ratio | x_high_low_ratio_1
8,2,x_price_volume_trend_1,1.1770842732100781,x_price_volume_trend_1 | x_price_volume_trend
9,4,x_volume_profile_indicator,0.7314423426083448,x_volume_profile_indicator | x_trend_strength_1
10,2,x_price_delta_volume_1,0.7220629538614539,x_price_delta_volume_1 | x_price_delta_1
11,8,x_session_sin_1,1.0577249614564126,x_session_sin_1 | x_is_night_1
12,4,x_volume_ma_ratio_1,1.2622560996900831,x_volume_ma_ratio_1 | x_volume_ma_ratio
13,2,x_spread_8h,1.246181549084577,x_spread_8h | x_spread_12h
