cluster_id,size,top_factor,best_res_ic_ir,candidates
1,6,x_money_flow_index,0.5343184057309455,x_money_flow_index | x_money_flow_ratio | x_ultimate_oscillator | x_stoch_k | x_rsi_14d | x_stoch_d
2,5,x_vol_weighted_return,0.4021349322022369,x_vol_weighted_return | x_volume_weighted_return | x_momentum_20d | x_trix | x_macd_signal
3,2,x_return_5d,0.22511966396834077,x_return_5d | x_p_ret_20h
4,7,x_ma_ret_6h,0.5692690300117633,x_ma_ret_6h | x_ma_ret_20h | x_ma_ret_8h | x_ma_ret_12h | x_ma_afternoon_ret | x_ma_bar_ret
5,1,x_skewness,0.25098430248213555,x_skewness
6,1,x_kurtosis,0.2476279614768742,x_kurtosis
7,3,x_high_low_ratio,0.81292108002384,x_high_low_ratio | x_fractal_dimension | x_parkinson_volatility
8,1,x_liquidity_indicator,0.5727204982350345,x_liquidity_indicator
9,1,x_trend_strength,0.2042228184299551,x_trend_strength
10,3,x_aroon_up,0.529602314160807,x_aroon_up | x_price_jump | x_klinger
11,2,x_price_impact,0.3783210121056779,x_price_impact | x_amihud_volatility
12,4,x_volume_profile_indicator,0.3522545351295822,x_volume_profile_indicator | x_volume_profile_fast | x_linearreg_ma | x_price_reversal_1d
13,4,x_is_night,0.7963131237341493,x_is_night | x_session_sin | x_volume_change_rate | x_volume_acceleration
14,1,x_kyle_lambda_lag,0.43013557766911387,x_kyle_lambda_lag
15,3,x_volume_ma_ratio,0.3953665489413529,x_volume_ma_ratio | x_hurst_exponent | x_relative_volume
16,2,x_price_volume_trend,0.5717087799963124,x_price_volume_trend | x_accumulation_distribution
17,3,x_spread_20h,0.4741918983638638,x_spread_20h | x_spread_12h | x_spread_8h
18,1,x_open_interest,0.4852079276429022,x_open_interest
