trial,cv_score,mac,n_factors,optional,all_factors
5,0.7480337148881858,0.04789701139409914,10,x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_ma_afternoon_ret|x_price_ma250_dev|x_parkinson_volatility|x_price_volume_trend,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_ma_afternoon_ret|x_price_ma250_dev|x_parkinson_volatility|x_price_volume_trend
19,0.7427203830519061,0.03298071821128227,7,x_price_impact|x_ma_afternoon_ret|x_price_volume_trend|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_price_impact|x_ma_afternoon_ret|x_price_volume_trend|x_open_interest
34,0.7401620373551528,0.042791439207763925,9,x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_price_ma250_dev|x_price_volume_trend|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_price_ma250_dev|x_price_volume_trend|x_open_interest
6,0.719516480912954,0.05311127857802404,9,x_adx|x_ma_afternoon_ret|x_spread_8h|x_price_ma250_dev|x_price_volume_trend|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_adx|x_ma_afternoon_ret|x_spread_8h|x_price_ma250_dev|x_price_volume_trend|x_open_interest
80,0.7039743696763365,0.061085451806296626,10,x_price_impact|x_adx|x_kyle_lambda_lag|x_price_ma250_dev|x_parkinson_volatility|x_price_volume_trend|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_price_impact|x_adx|x_kyle_lambda_lag|x_price_ma250_dev|x_parkinson_volatility|x_price_volume_trend|x_open_interest
66,0.663577208809395,0.03525868714104966,9,x_amihud_volatility|x_price_impact|x_adx|x_kyle_lambda_lag|x_price_ma250_dev|x_price_volume_trend,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_price_impact|x_adx|x_kyle_lambda_lag|x_price_ma250_dev|x_price_volume_trend
47,0.6580442671926462,0.03512982447342292,7,x_amihud_volatility|x_price_impact|x_price_ma250_dev|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_price_impact|x_price_ma250_dev|x_open_interest
57,0.6473819901549979,0.03187818899380936,9,x_amihud_volatility|x_price_impact|x_adx|x_kyle_lambda_lag|x_spread_8h|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_price_impact|x_adx|x_kyle_lambda_lag|x_spread_8h|x_open_interest
98,0.6358093820631235,0.03297251771044194,8,x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_spread_8h|x_price_ma250_dev,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_spread_8h|x_price_ma250_dev
41,0.6254909081360349,0.0424795670134363,10,x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_spread_8h|x_price_ma250_dev|x_parkinson_volatility|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_spread_8h|x_price_ma250_dev|x_parkinson_volatility|x_open_interest
75,0.6147033378559096,0.03327795283334263,8,x_amihud_volatility|x_kyle_lambda_lag|x_ma_afternoon_ret|x_price_ma250_dev|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_kyle_lambda_lag|x_ma_afternoon_ret|x_price_ma250_dev|x_open_interest
97,0.598443362045771,0.02809898171351162,6,x_amihud_volatility|x_kyle_lambda_lag|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_kyle_lambda_lag|x_open_interest
63,0.5847005281923595,0.05819576074118754,7,x_amihud_volatility|x_price_ma250_dev|x_price_volume_trend|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_price_ma250_dev|x_price_volume_trend|x_open_interest
2,0.5538339787049376,0.0631839557817165,9,x_amihud_volatility|x_ma_afternoon_ret|x_spread_8h|x_parkinson_volatility|x_price_volume_trend|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_ma_afternoon_ret|x_spread_8h|x_parkinson_volatility|x_price_volume_trend|x_open_interest
