trial,score,cv_score,mac,n_factors,optional,all_factors
29,3.311594329406844,3.339344316689826,0.11099994913192775,8,x_skewness|x_ease_of_movement|x_price_ma250_dev|x_kurtosis|x_turnover|x_boll_lower|x_open_interest|x_liquidity_indicator,x_skewness|x_ease_of_movement|x_price_ma250_dev|x_kurtosis|x_turnover|x_boll_lower|x_open_interest|x_liquidity_indicator
20,3.2712612531719767,3.294557862023982,0.09318643540802146,6,x_momentum_20d|x_price_ma250_dev|x_price_impact|x_turnover|x_boll_lower|x_liquidity_indicator,x_momentum_20d|x_price_ma250_dev|x_price_impact|x_turnover|x_boll_lower|x_liquidity_indicator
38,3.154721241664849,3.1731871627072787,0.07386368416972008,8,x_ease_of_movement|x_kurtosis|x_price_impact|x_turnover|x_volume_ma_ratio|x_boll_lower|x_open_interest|x_liquidity_indicator,x_ease_of_movement|x_kurtosis|x_price_impact|x_turnover|x_volume_ma_ratio|x_boll_lower|x_open_interest|x_liquidity_indicator
33,3.153404934865089,3.1794762890021424,0.10428541654821359,7,x_skewness|x_stoch_k|x_ease_of_movement|x_price_impact|x_turnover|x_boll_lower|x_open_interest,x_skewness|x_stoch_k|x_ease_of_movement|x_price_impact|x_turnover|x_boll_lower|x_open_interest
16,2.921449381275356,2.9579548186935747,0.14602174967287387,6,x_p_ret_20h|x_ease_of_movement|x_price_ma250_dev|x_turnover|x_boll_lower|x_open_interest,x_p_ret_20h|x_ease_of_movement|x_price_ma250_dev|x_turnover|x_boll_lower|x_open_interest
21,2.880711090843153,2.9021853796038584,0.08589715504282197,7,x_price_ma250_dev|x_turnover|x_amihud_illiquidity|x_volume_momentum|x_boll_lower|x_open_interest|x_liquidity_indicator,x_price_ma250_dev|x_turnover|x_amihud_illiquidity|x_volume_momentum|x_boll_lower|x_open_interest|x_liquidity_indicator
13,2.1084654694575193,2.125395526161076,0.06772022681422706,6,x_ease_of_movement|x_volatility_ratio|x_price_impact|x_turnover|x_open_interest|x_liquidity_indicator,x_ease_of_movement|x_volatility_ratio|x_price_impact|x_turnover|x_open_interest|x_liquidity_indicator
3,2.090829493503934,2.1133349091579863,0.09002166261620989,13,x_skewness|x_p_ret_20h|x_momentum_20d|x_ease_of_movement|x_market_depth_imbalance|x_amihud_volatility|x_volatility_ratio|x_volume_ma_ratio|x_volume_momentum|x_boll_lower|x_parkinson_volatility|x_open_interest|x_liquidity_indicator,x_skewness|x_p_ret_20h|x_momentum_20d|x_ease_of_movement|x_market_depth_imbalance|x_amihud_volatility|x_volatility_ratio|x_volume_ma_ratio|x_volume_momentum|x_boll_lower|x_parkinson_volatility|x_open_interest|x_liquidity_indicator
15,1.9818022763726297,2.003287085747338,0.08593923749883295,6,x_ease_of_movement|x_price_ma250_dev|x_amihud_volatility|x_turnover|x_boll_lower|x_liquidity_indicator,x_ease_of_movement|x_price_ma250_dev|x_amihud_volatility|x_turnover|x_boll_lower|x_liquidity_indicator
24,1.9236891183717737,1.9504567351809206,0.10707046723658703,6,x_stoch_k|x_price_ma250_dev|x_kurtosis|x_boll_lower|x_price_volume_trend|x_liquidity_indicator,x_stoch_k|x_price_ma250_dev|x_kurtosis|x_boll_lower|x_price_volume_trend|x_liquidity_indicator
8,1.705984826473597,1.7247354252457385,0.07500239508856547,11,x_skewness|x_p_ret_20h|x_stoch_k|x_market_depth_imbalance|x_volatility_ratio|x_kurtosis|x_amihud_illiquidity|x_volume_momentum|x_boll_lower|x_price_volume_trend|x_open_interest,x_skewness|x_p_ret_20h|x_stoch_k|x_market_depth_imbalance|x_volatility_ratio|x_kurtosis|x_amihud_illiquidity|x_volume_momentum|x_boll_lower|x_price_volume_trend|x_open_interest
7,1.4278229978814807,1.4455020394595515,0.07071616631228285,9,x_p_ret_20h|x_ease_of_movement|x_market_depth_imbalance|x_volatility_ratio|x_kurtosis|x_volume_ma_ratio|x_volume_momentum|x_price_volume_trend|x_open_interest,x_p_ret_20h|x_ease_of_movement|x_market_depth_imbalance|x_volatility_ratio|x_kurtosis|x_volume_ma_ratio|x_volume_momentum|x_price_volume_trend|x_open_interest
