trial,score,icir_cv,fold_std,mean_abs_corr,n_factors,optional,all_factors
6,2.021948000346465,2.481049806843899,1.6383511605877148,0.08300258363887388,8,x_ma_ret_4h_1|x_amihud_volatility_1|x_high_low_ratio_1|x_price_impact|x_boll_lower|x_price_delta_1,x_vwap|x_ma_ret_4h|x_ma_ret_4h_1|x_amihud_volatility_1|x_high_low_ratio_1|x_price_impact|x_boll_lower|x_price_delta_1
4,1.8094963370865798,2.4735372229383663,1.6446678609284144,0.07749209969348884,12,x_ma_ret_8h|x_spread_20h_1|x_ma_ret_4h_1|x_high_low_ratio_1|x_price_impact|x_boll_lower|x_price_delta_1|x_spread_12h|x_session_sin_1|x_trend_strength_1,x_vwap|x_ma_ret_4h|x_ma_ret_8h|x_spread_20h_1|x_ma_ret_4h_1|x_high_low_ratio_1|x_price_impact|x_boll_lower|x_price_delta_1|x_spread_12h|x_session_sin_1|x_trend_strength_1
17,0.10351142528241675,0.382621380623203,0.3141955021212031,0.11643982136314512,7,x_ma_ret_20h|x_amihud_volatility_1|x_boll_lower|x_price_delta_volume_1|x_spread_12h,x_vwap|x_ma_ret_4h|x_ma_ret_20h|x_amihud_volatility_1|x_boll_lower|x_price_delta_volume_1|x_spread_12h
27,0.012680633519221773,0.382621380623203,0.3141955021212031,0.07976298841592487,9,x_spread_20h|x_amihud_volatility|x_price_impact|x_boll_lower|x_price_delta_volume_1|x_spread_12h|x_trend_strength_1,x_vwap|x_ma_ret_4h|x_spread_20h|x_amihud_volatility|x_price_impact|x_boll_lower|x_price_delta_volume_1|x_spread_12h|x_trend_strength_1
9,-0.03513179420374629,0.3840163060882028,0.3122057979546047,0.0765924011677963,10,x_ma_ret_8h|x_spread_20h|x_ma_ret_4h_1|x_amihud_volatility_1|x_high_low_ratio|x_price_impact|x_volume_ma_ratio|x_price_delta_volume_1,x_vwap|x_ma_ret_4h|x_ma_ret_8h|x_spread_20h|x_ma_ret_4h_1|x_amihud_volatility_1|x_high_low_ratio|x_price_impact|x_volume_ma_ratio|x_price_delta_volume_1
5,-0.0739450606974158,0.4005890757818877,0.30911359585829573,0.09813654591721391,11,x_ma_ret_12h|x_spread_20h_1|x_amihud_volatility|x_high_low_ratio_1|x_price_impact|x_boll_lower_1|x_price_volume_trend|x_price_delta_volume_1|x_session_sin_1,x_vwap|x_ma_ret_4h|x_ma_ret_12h|x_spread_20h_1|x_amihud_volatility|x_high_low_ratio_1|x_price_impact|x_boll_lower_1|x_price_volume_trend|x_price_delta_volume_1|x_session_sin_1
7,-0.2149612032187924,0.36039752898004246,0.34483848232472497,0.07170322160874534,13,x_ma_ret_8h|x_spread_20h_1|x_ma_ret_4h_1|x_price_impact|x_price_volume_trend_1|x_volume_ma_ratio_1|x_open_interest_1|x_price_delta_volume_1|x_spread_8h|x_is_night_1|x_trend_strength_1,x_vwap|x_ma_ret_4h|x_ma_ret_8h|x_spread_20h_1|x_ma_ret_4h_1|x_price_impact|x_price_volume_trend_1|x_volume_ma_ratio_1|x_open_interest_1|x_price_delta_volume_1|x_spread_8h|x_is_night_1|x_trend_strength_1
25,-0.22389607518414653,0.11515456240820965,0.2582981148643372,0.11358433459210963,8,x_ma_ret_8h|x_amihud_volatility|x_price_impact|x_boll_lower|x_open_interest_1|x_spread_12h,x_vwap|x_ma_ret_4h|x_ma_ret_8h|x_amihud_volatility|x_price_impact|x_boll_lower|x_open_interest_1|x_spread_12h
21,-0.2526559816115707,0.07484285918316769,0.2772523204459966,0.10999536317895334,8,x_ma_ret_20h|x_amihud_volatility_1|x_price_impact|x_boll_lower_1|x_open_interest|x_spread_8h,x_vwap|x_ma_ret_4h|x_ma_ret_20h|x_amihud_volatility_1|x_price_impact|x_boll_lower_1|x_open_interest|x_spread_8h
1,-0.349053594543696,0.07136473969962959,0.2793058009183641,0.08167333697330219,10,x_ma_ret_8h|x_ma_ret_4h_1|x_amihud_volatility_1|x_price_impact|x_volume_ma_ratio|x_open_interest|x_price_delta_1|x_spread_12h,x_vwap|x_ma_ret_4h|x_ma_ret_8h|x_ma_ret_4h_1|x_amihud_volatility_1|x_price_impact|x_volume_ma_ratio|x_open_interest|x_price_delta_1|x_spread_12h
3,-0.35643920537527474,0.21927721076367696,0.2915452138517331,0.08970109041209678,11,x_spread_20h_1|x_ma_ret_20h|x_amihud_volatility_1|x_high_low_ratio_1|x_price_impact|x_price_volume_trend_1|x_volume_ma_ratio_1|x_open_interest_1|x_price_delta_1,x_vwap|x_ma_ret_4h|x_spread_20h_1|x_ma_ret_20h|x_amihud_volatility_1|x_high_low_ratio_1|x_price_impact|x_price_volume_trend_1|x_volume_ma_ratio_1|x_open_interest_1|x_price_delta_1
2,-0.36115658238879017,0.2337569655452355,0.3118421945422294,0.13356299755109347,11,x_ma_ret_8h|x_ma_ret_20h|x_amihud_volatility|x_boll_lower|x_price_volume_trend|x_volume_ma_ratio|x_open_interest_1|x_spread_8h|x_is_night_1,x_vwap|x_ma_ret_4h|x_ma_ret_8h|x_ma_ret_20h|x_amihud_volatility|x_boll_lower|x_price_volume_trend|x_volume_ma_ratio|x_open_interest_1|x_spread_8h|x_is_night_1
36,-0.39596129085377846,0.07488452124064715,0.2770792917286679,0.08338324837770242,11,x_spread_20h_1|x_ma_ret_20h|x_amihud_volatility|x_high_low_ratio_1|x_price_impact|x_boll_lower_1|x_volume_ma_ratio_1|x_open_interest|x_trend_strength_1,x_vwap|x_ma_ret_4h|x_spread_20h_1|x_ma_ret_20h|x_amihud_volatility|x_high_low_ratio_1|x_price_impact|x_boll_lower_1|x_volume_ma_ratio_1|x_open_interest|x_trend_strength_1
8,-0.418106766244243,0.18998339850887325,0.3244729151027764,0.09030844740792711,12,x_spread_20h|x_ma_ret_4h_1|x_price_impact|x_boll_lower_1|x_price_volume_trend|x_volume_ma_ratio|x_open_interest|x_price_delta_1|x_spread_8h|x_trend_strength_1,x_vwap|x_ma_ret_4h|x_spread_20h|x_ma_ret_4h_1|x_price_impact|x_boll_lower_1|x_price_volume_trend|x_volume_ma_ratio|x_open_interest|x_price_delta_1|x_spread_8h|x_trend_strength_1
10,-0.47554247698341573,0.18613070140669563,0.2988004749088938,0.11168304212899602,13,x_ma_ret_8h|x_spread_20h|x_amihud_volatility|x_high_low_ratio|x_price_impact|x_boll_lower_1|x_price_volume_trend_1|x_open_interest|x_price_delta_1|x_spread_8h|x_trend_strength_1,x_vwap|x_ma_ret_4h|x_ma_ret_8h|x_spread_20h|x_amihud_volatility|x_high_low_ratio|x_price_impact|x_boll_lower_1|x_price_volume_trend_1|x_open_interest|x_price_delta_1|x_spread_8h|x_trend_strength_1
