,"组合1（price_channe,aroon_osc_24...）","组合2（p_ret_12h,sar_diff_240...）","组合3（p_ret_12h,ease_of_move...）","组合4（p_ret_12h,sar_diff_240...）","组合5（roc_8slot,price_channe...）"
"组合1（price_channe,aroon_osc_24...）",1.0,0.559279169290267,0.6948440614889889,0.7165165696018081,0.8497183898282417
"组合2（p_ret_12h,sar_diff_240...）",0.559279169290267,1.0,0.6516899154970891,0.6585844490115391,0.6134585687398016
"组合3（p_ret_12h,ease_of_move...）",0.6948440614889889,0.6516899154970891,1.0,0.6925981639892157,0.7234290486830719
"组合4（p_ret_12h,sar_diff_240...）",0.7165165696018081,0.6585844490115391,0.6925981639892157,1.0,0.7284978393896286
"组合5（roc_8slot,price_channe...）",0.8497183898282417,0.6134585687398016,0.7234290486830719,0.7284978393896286,1.0
