trial,score,cv_score,fold_std,mean_abs_corr,n_factors,optional,all_factors
32,0.28771528199896107,0.8554648131140097,0.44506314348565623,0.05310178196872378,9,x_amihud_volatility_1|x_high_low_ratio_1|x_volume_ma_ratio_1|x_price_delta_1|x_spread_12h|x_session_sin_1|x_trend_strength_1,x_vwap|x_ma_ret_4h|x_amihud_volatility_1|x_high_low_ratio_1|x_volume_ma_ratio_1|x_price_delta_1|x_spread_12h|x_session_sin_1|x_trend_strength_1
2,0.22453239369667505,1.0655927043375446,0.4972385660418466,0.13356299755109347,11,x_ma_ret_8h|x_ma_ret_20h|x_amihud_volatility|x_boll_lower|x_price_volume_trend|x_volume_ma_ratio|x_open_interest_1|x_spread_8h|x_is_night_1,x_vwap|x_ma_ret_4h|x_ma_ret_8h|x_ma_ret_20h|x_amihud_volatility|x_boll_lower|x_price_volume_trend|x_volume_ma_ratio|x_open_interest_1|x_spread_8h|x_is_night_1
29,0.17600509609718962,0.9263551127294991,0.7831088662488148,0.10338474850847738,11,x_ma_ret_8h|x_ma_ret_20h|x_amihud_volatility_1|x_high_low_ratio_1|x_price_impact|x_price_volume_trend_1|x_volume_ma_ratio|x_spread_8h|x_trend_strength_1,x_vwap|x_ma_ret_4h|x_ma_ret_8h|x_ma_ret_20h|x_amihud_volatility_1|x_high_low_ratio_1|x_price_impact|x_price_volume_trend_1|x_volume_ma_ratio|x_spread_8h|x_trend_strength_1
8,0.016126216596829668,0.8110517398229614,0.5996968660371135,0.09030844740792711,12,x_spread_20h|x_ma_ret_4h_1|x_price_impact|x_boll_lower_1|x_price_volume_trend|x_volume_ma_ratio|x_open_interest|x_price_delta_1|x_spread_8h|x_trend_strength_1,x_vwap|x_ma_ret_4h|x_spread_20h|x_ma_ret_4h_1|x_price_impact|x_boll_lower_1|x_price_volume_trend|x_volume_ma_ratio|x_open_interest|x_price_delta_1|x_spread_8h|x_trend_strength_1
21,0.012476391129691733,0.9123136279415185,0.3982638305364344,0.10327477594544958,12,x_ma_ret_12h|x_spread_20h|x_amihud_volatility_1|x_high_low_ratio|x_price_volume_trend_1|x_volume_ma_ratio|x_open_interest_1|x_price_delta_1|x_spread_12h|x_trend_strength_1,x_vwap|x_ma_ret_4h|x_ma_ret_12h|x_spread_20h|x_amihud_volatility_1|x_high_low_ratio|x_price_volume_trend_1|x_volume_ma_ratio|x_open_interest_1|x_price_delta_1|x_spread_12h|x_trend_strength_1
7,-0.12581214208660296,0.699416135288669,0.46608760614450295,0.07170322160874534,13,x_ma_ret_8h|x_spread_20h_1|x_ma_ret_4h_1|x_price_impact|x_price_volume_trend_1|x_volume_ma_ratio_1|x_open_interest_1|x_price_delta_volume_1|x_spread_8h|x_is_night_1|x_trend_strength_1,x_vwap|x_ma_ret_4h|x_ma_ret_8h|x_spread_20h_1|x_ma_ret_4h_1|x_price_impact|x_price_volume_trend_1|x_volume_ma_ratio_1|x_open_interest_1|x_price_delta_volume_1|x_spread_8h|x_is_night_1|x_trend_strength_1
11,-0.17342690773019515,0.6910850375252025,1.0410019530666734,0.07539541845390746,12,x_ma_ret_8h|x_spread_20h_1|x_ma_ret_4h_1|x_amihud_volatility_1|x_price_impact|x_boll_lower|x_price_delta_1|x_spread_8h|x_session_sin_1|x_trend_strength_1,x_vwap|x_ma_ret_4h|x_ma_ret_8h|x_spread_20h_1|x_ma_ret_4h_1|x_amihud_volatility_1|x_price_impact|x_boll_lower|x_price_delta_1|x_spread_8h|x_session_sin_1|x_trend_strength_1
3,-0.5196947053349321,0.44579329187678196,0.6110004589119531,0.08970109041209678,11,x_spread_20h_1|x_ma_ret_20h|x_amihud_volatility_1|x_high_low_ratio_1|x_price_impact|x_price_volume_trend_1|x_volume_ma_ratio_1|x_open_interest_1|x_price_delta_1,x_vwap|x_ma_ret_4h|x_spread_20h_1|x_ma_ret_20h|x_amihud_volatility_1|x_high_low_ratio_1|x_price_impact|x_price_volume_trend_1|x_volume_ma_ratio_1|x_open_interest_1|x_price_delta_1
16,-0.5300730656867743,0.2983269704938578,1.2214452066681525,0.10641262271632863,8,x_ma_ret_8h|x_spread_20h|x_ma_ret_4h_1|x_price_volume_trend|x_volume_ma_ratio|x_trend_strength_1,x_vwap|x_ma_ret_4h|x_ma_ret_8h|x_spread_20h|x_ma_ret_4h_1|x_price_volume_trend|x_volume_ma_ratio|x_trend_strength_1
6,-0.6561962472963381,0.11633372896168748,0.981773517130865,0.08300258363887388,8,x_ma_ret_4h_1|x_amihud_volatility_1|x_high_low_ratio_1|x_price_impact|x_boll_lower|x_price_delta_1,x_vwap|x_ma_ret_4h|x_ma_ret_4h_1|x_amihud_volatility_1|x_high_low_ratio_1|x_price_impact|x_boll_lower|x_price_delta_1
5,-0.9406709985054311,0.009517414816861303,1.0973727922960577,0.09813654591721391,11,x_ma_ret_12h|x_spread_20h_1|x_amihud_volatility|x_high_low_ratio_1|x_price_impact|x_boll_lower_1|x_price_volume_trend|x_price_delta_volume_1|x_session_sin_1,x_vwap|x_ma_ret_4h|x_ma_ret_12h|x_spread_20h_1|x_amihud_volatility|x_high_low_ratio_1|x_price_impact|x_boll_lower_1|x_price_volume_trend|x_price_delta_volume_1|x_session_sin_1
10,-1.0415603619713387,0.0389668853733961,0.7701295394392293,0.11168304212899602,13,x_ma_ret_8h|x_spread_20h|x_amihud_volatility|x_high_low_ratio|x_price_impact|x_boll_lower_1|x_price_volume_trend_1|x_open_interest|x_price_delta_1|x_spread_8h|x_trend_strength_1,x_vwap|x_ma_ret_4h|x_ma_ret_8h|x_spread_20h|x_amihud_volatility|x_high_low_ratio|x_price_impact|x_boll_lower_1|x_price_volume_trend_1|x_open_interest|x_price_delta_1|x_spread_8h|x_trend_strength_1
