cluster_id,size,top_factor,best_res_ic_ir,candidates
1,2,x_liquidity_indicator,0.5751483780581297,x_liquidity_indicator | x_liquidity_indicator_1
2,4,x_high_low_ratio_1,0.8087061300417766,x_high_low_ratio_1 | x_high_low_ratio
3,1,x_price_impact_1,0.33795436839892945,x_price_impact_1
4,2,x_hurst_exponent_1,0.4258491235746872,x_hurst_exponent_1 | x_hurst_exponent
5,6,x_ma_ret_6h,0.7331632069514799,x_ma_ret_6h | x_ma_ret_20h
6,5,x_is_night,0.8236336746370369,x_is_night | x_is_night_1
7,2,x_aroon_up,0.4688733470264875,x_aroon_up | x_aroon_up_1
8,6,x_spread_20h,0.6934200898048473,x_spread_20h | x_spread_12h
9,3,x_session_sin,0.7553746908280687,x_session_sin | x_volume_ma_ratio_1
10,10,x_money_flow_index,0.6100633811388675,x_money_flow_index | x_money_flow_ratio
11,2,x_kyle_lambda_lag_1,0.4054960513004686,x_kyle_lambda_lag_1 | x_kyle_lambda_lag
12,2,x_open_interest,0.5602282133773995,x_open_interest | x_open_interest_1
13,5,x_price_volume_trend,0.5899429598599105,x_price_volume_trend | x_price_volume_trend_1
