cluster_id,size,top_factor,best_res_ic_ir,candidates
1,4,x_intraday_return_240min,0.41314547785520306,x_intraday_return_240min | x_return_1_240min | x_log_return_1_240min | x_price_reversal_240min
2,5,x_ma5_ma20_60min,0.7031835186128,x_ma5_ma20_60min | x_vwap_dev_60min | x_money_flow_ratio_60min | x_mfi_60min | x_mom5_240min
3,8,x_trend_60min,0.5507591356111367,x_trend_60min | x_delta | x_effort_vs_result_60min | x_intraday_return_60min | x_price_channel_breakout_60min | x_return_1_60min
4,1,x_price_reversal_60min,0.3620153909783866,x_price_reversal_60min
5,1,x_skew_60min,0.42019188039317956,x_skew_60min
6,1,x_ease_of_movement_60min,0.34074169485398054,x_ease_of_movement_60min
7,2,x_vol_change_rate_60min,0.70876036587689,x_vol_change_rate_60min | x_vol_accel_60min
8,1,x_trend_break_watch_60min,0.7769169042068715,x_trend_break_watch_60min
9,2,x_price_jump_240min,0.5749580036073341,x_price_jump_240min | x_fractal_dim_240min
10,1,x_cvd_60min,0.7418146808235295,x_cvd_60min
11,3,x_is_night,0.6664151563735607,x_is_night | x_price_jump_60min | x_absorption_60min
12,1,x_distribute_60min,0.523864634165644,x_distribute_60min
13,4,x_price_ma250_dev_240min,0.7000248098416527,x_price_ma250_dev_240min | x_ma20_ma60_240min | x_boll_lower_60min | x_bvwap_60min
14,4,x_ma20_ma60_60min,0.6913016788636639,x_ma20_ma60_60min | x_vwap_dev_240min | x_ma5_ma20_240min | x_price_channel_breakout_240min
15,3,x_high_low_ratio_60min,0.6991108072776105,x_high_low_ratio_60min | x_high_low_ratio_240min | x_fractal_dim_60min
16,1,x_liquidity_60min,0.414227577944785,x_liquidity_60min
17,2,x_open_interest_y,0.44449940282737205,x_open_interest_y | x_open_interest_x
18,2,x_vol_ma_ratio_240min,0.4622493619188288,x_vol_ma_ratio_240min | x_rel_vol_240min
19,1,x_price_delta_trend_60min,0.7513120880163158,x_price_delta_trend_60min
20,1,x_bvwap_v,0.40469922202882197,x_bvwap_v
21,1,x_volume_profile_240min,0.41898656470519036,x_volume_profile_240min
22,1,x_vol_mom_60min,0.4159684197982583,x_vol_mom_60min
