trial,score,oos_sharpe,mean_abs_corr,n_factors,optional,all_factors
41,1.7488833273633844,1.7595212559725415,0.04255171443662865,14,x_trend_8slot_1|x_cvd_8slot_1|x_liquidity_240min|x_hurst_240min|x_linearreg_ma_240min|x_price_delta_volume_8slot_1|x_vol_change_rate_240min|x_price_jump_240min|x_ma_midday_ret_1|x_price_jump_8slot|x_session_sin_1|x_price_reversal_8slot_1,x_vwap_8slot|x_ma_ret_4h|x_trend_8slot_1|x_cvd_8slot_1|x_liquidity_240min|x_hurst_240min|x_linearreg_ma_240min|x_price_delta_volume_8slot_1|x_vol_change_rate_240min|x_price_jump_240min|x_ma_midday_ret_1|x_price_jump_8slot|x_session_sin_1|x_price_reversal_8slot_1
44,1.6960035949997634,1.7103976500536078,0.057576220215377984,12,x_trend_8slot_1|x_cvd_8slot_1|x_liquidity_240min|x_hurst_240min_1|x_vol_change_rate_240min_1|x_ma_midday_ret_1|x_spread_2h|x_trend_break_watch_8slot_1|x_session_sin_1|x_price_reversal_8slot_1,x_vwap_8slot|x_ma_ret_4h|x_trend_8slot_1|x_cvd_8slot_1|x_liquidity_240min|x_hurst_240min_1|x_vol_change_rate_240min_1|x_ma_midday_ret_1|x_spread_2h|x_trend_break_watch_8slot_1|x_session_sin_1|x_price_reversal_8slot_1
45,1.6263482312240285,1.6411628303599552,0.05925839654370746,13,x_trend_8slot_1|x_cvd_8slot_1|x_liquidity_240min|x_price_channel_breakout_8slot|x_hurst_240min_1|x_vol_change_rate_240min_1|x_ma_midday_ret_1|x_ma_bar_ret|x_trend_break_watch_8slot_1|x_session_sin_1|x_price_reversal_8slot_1,x_vwap_8slot|x_ma_ret_4h|x_trend_8slot_1|x_cvd_8slot_1|x_liquidity_240min|x_price_channel_breakout_8slot|x_hurst_240min_1|x_vol_change_rate_240min_1|x_ma_midday_ret_1|x_ma_bar_ret|x_trend_break_watch_8slot_1|x_session_sin_1|x_price_reversal_8slot_1
58,1.5539633305910734,1.5681686031769424,0.05682109034347572,11,x_trend_8slot_1|x_absorption_8slot|x_linearreg_ma_240min|x_price_delta_volume_8slot_1|x_price_jump_240min|x_ma_midday_ret_1|x_spread_2h|x_price_jump_8slot|x_price_reversal_8slot_1,x_vwap_8slot|x_ma_ret_4h|x_trend_8slot_1|x_absorption_8slot|x_linearreg_ma_240min|x_price_delta_volume_8slot_1|x_price_jump_240min|x_ma_midday_ret_1|x_spread_2h|x_price_jump_8slot|x_price_reversal_8slot_1
40,1.541875495792715,1.5561401744763232,0.05705871473443294,11,x_trend_8slot_1|x_close_pos_ratio_8slot|x_cvd_8slot_1|x_liquidity_240min|x_hurst_240min_1|x_vol_change_rate_240min_1|x_ma_midday_ret_1|x_spread_2h|x_trend_break_watch_8slot_1,x_vwap_8slot|x_ma_ret_4h|x_trend_8slot_1|x_close_pos_ratio_8slot|x_cvd_8slot_1|x_liquidity_240min|x_hurst_240min_1|x_vol_change_rate_240min_1|x_ma_midday_ret_1|x_spread_2h|x_trend_break_watch_8slot_1
38,1.5326798345573474,1.5440046477573772,0.045299252800119365,13,x_trend_8slot_1|x_absorption_8slot|x_liquidity_240min|x_linearreg_ma_240min|x_price_delta_volume_8slot_1|x_vol_change_rate_240min|x_price_jump_240min|x_ma_midday_ret_1|x_spread_2h|x_price_jump_8slot|x_price_reversal_8slot_1,x_vwap_8slot|x_ma_ret_4h|x_trend_8slot_1|x_absorption_8slot|x_liquidity_240min|x_linearreg_ma_240min|x_price_delta_volume_8slot_1|x_vol_change_rate_240min|x_price_jump_240min|x_ma_midday_ret_1|x_spread_2h|x_price_jump_8slot|x_price_reversal_8slot_1
48,1.513258781670923,1.5234786543304313,0.04087949063803317,16,x_distribute_8slot_1|x_trend_8slot_1|x_absorption_8slot|x_ofi_8slot|x_liquidity_240min|x_hurst_240min|x_linearreg_ma_240min|x_price_delta_volume_8slot_1|x_vol_change_rate_240min|x_price_jump_240min|x_ma_midday_ret_1|x_spread_2h|x_price_jump_8slot|x_price_reversal_8slot_1,x_vwap_8slot|x_ma_ret_4h|x_distribute_8slot_1|x_trend_8slot_1|x_absorption_8slot|x_ofi_8slot|x_liquidity_240min|x_hurst_240min|x_linearreg_ma_240min|x_price_delta_volume_8slot_1|x_vol_change_rate_240min|x_price_jump_240min|x_ma_midday_ret_1|x_spread_2h|x_price_jump_8slot|x_price_reversal_8slot_1
43,1.5083181682664681,1.5214545548498908,0.052545546333690206,13,x_trend_8slot_1|x_close_pos_ratio_8slot|x_cvd_8slot_1|x_liquidity_240min|x_hurst_240min_1|x_vol_change_rate_240min_1|x_ma_midday_ret_1|x_spread_2h|x_trend_break_watch_8slot_1|x_session_sin_1|x_price_reversal_8slot_1,x_vwap_8slot|x_ma_ret_4h|x_trend_8slot_1|x_close_pos_ratio_8slot|x_cvd_8slot_1|x_liquidity_240min|x_hurst_240min_1|x_vol_change_rate_240min_1|x_ma_midday_ret_1|x_spread_2h|x_trend_break_watch_8slot_1|x_session_sin_1|x_price_reversal_8slot_1
59,1.4914076251158908,1.5074485527981676,0.06416371072910715,11,x_absorption_8slot|x_cvd_8slot|x_linearreg_ma_240min|x_price_delta_volume_8slot_1|x_price_jump_240min|x_ma_midday_ret_1|x_spread_2h|x_trend_break_watch_8slot_1|x_price_reversal_8slot_1,x_vwap_8slot|x_ma_ret_4h|x_absorption_8slot|x_cvd_8slot|x_linearreg_ma_240min|x_price_delta_volume_8slot_1|x_price_jump_240min|x_ma_midday_ret_1|x_spread_2h|x_trend_break_watch_8slot_1|x_price_reversal_8slot_1
49,1.4686223224654336,1.483652895361471,0.06012229158414981,14,x_trend_8slot_1|x_absorption_8slot|x_cvd_8slot_1|x_liquidity_240min|x_price_channel_breakout_8slot|x_hurst_240min_1|x_linearreg_ma_240min_1|x_vol_change_rate_240min_1|x_ma_bar_ret|x_trend_break_watch_8slot_1|x_session_sin_1|x_price_reversal_8slot_1,x_vwap_8slot|x_ma_ret_4h|x_trend_8slot_1|x_absorption_8slot|x_cvd_8slot_1|x_liquidity_240min|x_price_channel_breakout_8slot|x_hurst_240min_1|x_linearreg_ma_240min_1|x_vol_change_rate_240min_1|x_ma_bar_ret|x_trend_break_watch_8slot_1|x_session_sin_1|x_price_reversal_8slot_1
