cluster_id,size,top_factor,best_res_ic_ir,candidates
1,2,x_obv_240min,0.4346148742790208,x_obv_240min | x_obv_240min_1
2,14,x_ma20_8slot_1,0.544074194948434,x_ma20_8slot_1 | x_ma20_8slot
3,2,x_price_channel_breakout_8slot,0.5184350579776483,x_price_channel_breakout_8slot | x_price_channel_breakout_8slot_1
4,3,x_ease_of_movement_240min,0.4604849582363981,x_ease_of_movement_240min | x_sar_diff_240min_1
5,3,x_vol_weighted_return_8slot,0.4670335945480742,x_vol_weighted_return_8slot | x_vol_weighted_return_8slot_1
6,1,x_linearreg_ma_240min_1,0.42092438421827943,x_linearreg_ma_240min_1
7,3,x_overnight_vol_8slot,0.4283443286665299,x_overnight_vol_8slot | x_gap_ratio_8slot
8,3,x_overnight_vol_8slot_1,0.44106742292203593,x_overnight_vol_8slot_1 | x_gap_ratio_8slot_1
9,1,x_trend_8slot_1,0.6357153698058329,x_trend_8slot_1
10,2,x_price_delta_trend_8slot,0.5822751466552512,x_price_delta_trend_8slot | x_price_delta_trend_8slot_1
11,4,x_vol_change_rate_240min,0.7376259572787794,x_vol_change_rate_240min | x_vol_change_rate_240min_1
12,1,x_price_delta_volume_8slot_1,0.5111685578398062,x_price_delta_volume_8slot_1
13,2,x_price_jump_240min_1,1.0424903194614543,x_price_jump_240min_1 | x_price_jump_240min
14,2,x_ma_midday_ret_1,0.47311177338452354,x_ma_midday_ret_1 | x_ma_midday_ret
15,1,x_session_sin_1,0.8360297486456056,x_session_sin_1
16,2,x_ma_bar_ret,0.5367041803654357,x_ma_bar_ret | x_spread_2h
17,3,x_price_jump_8slot,0.7674168220582327,x_price_jump_8slot | x_absorption_8slot_1
18,1,x_close_pos_ratio_8slot,0.44914073465616855,x_close_pos_ratio_8slot
