cluster_id,size,top_factor,best_res_ic_ir,candidates
1,9,x_ma20_8slot_1,0.6723133074677419,x_ma20_8slot_1 | x_ma20_8slot
2,3,x_overnight_vol_8slot,0.7723038833607665,x_overnight_vol_8slot | x_overnight_return_8slot
3,3,x_overnight_return_8slot_1,0.9265565979986635,x_overnight_return_8slot_1 | x_gap_ratio_8slot_1
4,3,x_overnight_vol_240min,0.6934737697134589,x_overnight_vol_240min | x_gap_ratio_240min
5,2,x_vol_change_rate_240min_1,0.7768314554424298,x_vol_change_rate_240min_1 | x_vol_change_rate_240min
6,1,x_price_delta_volume_8slot_1,0.7441884405506366,x_price_delta_volume_8slot_1
7,2,x_price_jump_240min_1,1.1023989046709914,x_price_jump_240min_1 | x_price_jump_240min
8,1,x_ma_midday_ret,0.6836498375538955,x_ma_midday_ret
9,2,x_absorption_8slot_1,0.8585154124563239,x_absorption_8slot_1 | x_absorption_8slot
10,1,x_price_jump_8slot,0.8541883957936127,x_price_jump_8slot
11,3,x_spread_2h,0.9288616472908404,x_spread_2h | x_spread_1h
12,4,x_ma_bar_ret,1.1223301646879147,x_ma_bar_ret | x_ma_ret_1h
13,6,x_turnover_x,0.6558150292020072,x_turnover_x | x_vwap_pv
14,6,x_price_reversal_8slot_1,0.7009665554918549,x_price_reversal_8slot_1 | x_p_ret_2h_1
15,2,x_price_channel_breakout_8slot_1,0.8115461863365111,x_price_channel_breakout_8slot_1 | x_price_channel_breakout_8slot
16,2,x_trend_8slot_1,0.771005284856774,x_trend_8slot_1 | x_trend_8slot
