bar_idx,time,inter_short,w_short_1h,icir_1h,w_short_2h,icir_2h,inter_mid,w_mid_4h,icir_4h,w_mid_6h,icir_6h,inter_long,w_long_8h,icir_8h,w_long_12h,icir_12h
2000,2019-06-17 15:00:00,0.3333,0.3333,0.0,0.0,0.0,0.3333,0.3333,0.0,0.0,0.0,0.3333,0.3333,0.0,0.0,0.0
3000,2020-01-20 23:00:00,0.3333,0.3333,0.0,0.0,0.0,0.3333,0.3333,0.0,0.0,0.0,0.3333,0.3333,0.0,0.0,0.0
4000,2020-09-29 10:45:00,0.3333,0.3333,0.0,0.0,0.0,0.3333,0.3333,0.0,0.0,0.0,0.3333,0.3333,0.0,0.0,0.0
5000,2021-05-06 11:15:00,0.7587,0.7587,0.5493,0.0,0.289,0.0917,0.0917,0.0664,0.0,0.0216,0.1496,0.1496,0.1083,0.0,0.0249
6000,2021-11-30 15:00:00,0.4713,0.4713,0.2904,0.0,0.0128,0.3096,0.3096,0.1908,0.0,0.0723,0.2191,0.0,0.1008,0.2191,0.135
7000,2022-06-30 15:00:00,0.2969,0.0,0.0911,0.2969,0.367,0.4055,0.4055,0.5012,0.0,0.2884,0.2976,0.1468,0.3629,0.1507,0.3725
8000,2023-01-30 11:15:00,0.3054,0.0,0.1797,0.3054,0.4151,0.3754,0.2341,0.5997,0.1413,0.362,0.3192,0.1476,0.399,0.1716,0.4639
9000,2023-08-22 14:45:00,0.2632,0.2632,0.1293,0.0,0.041,0.2941,0.0,0.1076,0.2941,0.1444,0.4427,0.0,0.056,0.4427,0.2174
10000,2024-03-22 00:00:00,0.0472,0.0472,0.0175,0.0,0.0018,0.5795,0.0,0.1949,0.5795,0.2144,0.3733,0.0,0.1017,0.3733,0.1381
11000,2024-10-24 09:30:00,0.4839,0.0,0.214,0.4839,0.2915,0.2288,0.2288,0.1378,0.0,0.0852,0.2874,0.2874,0.1731,0.0,0.1384
12000,2025-05-26 10:00:00,0.4814,0.277,0.4459,0.2045,0.3292,0.2096,0.2096,0.1726,0.0,0.0728,0.309,0.0,0.155,0.309,0.2544
13000,2025-12-17 14:45:00,0.4617,0.2688,0.5504,0.1929,0.395,0.3018,0.3018,0.3174,0.0,0.2323,0.2365,0.0,0.0852,0.2365,0.2486
