,"组合1（intraday_ret,ma5_ma20_60m...）","组合2（money_flow_r,bvwap_slope_...）","组合3（intraday_ret,price_channe...）","组合4（intraday_ret,ma5_ma20_60m...）","组合5（mfi_60min,bvwap_slope_...）"
"组合1（intraday_ret,ma5_ma20_60m...）",1.0,0.7560907242557413,0.34829789853074317,0.4639225443347306,0.7469487196249054
"组合2（money_flow_r,bvwap_slope_...）",0.7560907242557413,1.0,0.32981192867082104,0.32224905505656665,0.9429808073529802
"组合3（intraday_ret,price_channe...）",0.34829789853074317,0.32981192867082104,1.0,0.6219052246260781,0.3059501039578476
"组合4（intraday_ret,ma5_ma20_60m...）",0.4639225443347306,0.32224905505656665,0.6219052246260781,1.0,0.3169982162512344
"组合5（mfi_60min,bvwap_slope_...）",0.7469487196249054,0.9429808073529802,0.3059501039578476,0.3169982162512344,1.0
