factor,appear_folds,is_must
x_price_volume_trend,5,False
x_open_interest,5,False
x_parkinson_volatility,5,False
x_amihud_volatility,4,False
x_kyle_lambda_lag,4,False
x_adx,4,False
x_price_impact,4,False
x_ma_afternoon_ret,4,False
x_price_ma250_dev,4,False
x_spread_8h,4,False
x_ma_ret_4h,3,True
x_is_night,2,True
