,"组合1（fractal_dim_,cvd_60min...）","组合2（high_low_rat,vpin_240min...）","组合3（fractal_dim_,fractal_dim_...）","组合4（high_low_rat,price_jump_2...）","组合5（fractal_dim_,fractal_dim_...）"
"组合1（fractal_dim_,cvd_60min...）",1.0,0.6744960457065076,0.8770208803493038,0.8213942067807415,0.8761501669441716
"组合2（high_low_rat,vpin_240min...）",0.6744960457065076,1.0,0.6637865654849151,0.7610080082894394,0.6554981505655464
"组合3（fractal_dim_,fractal_dim_...）",0.8770208803493038,0.6637865654849151,1.0,0.8189196983514566,0.9080825593514072
"组合4（high_low_rat,price_jump_2...）",0.8213942067807415,0.7610080082894394,0.8189196983514566,1.0,0.8181441137016229
"组合5（fractal_dim_,fractal_dim_...）",0.8761501669441716,0.6554981505655464,0.9080825593514072,0.8181441137016229,1.0
