bar_idx,time,inter_short,w_short_1h,icir_1h,w_short_2h,icir_2h,inter_mid,w_mid_4h,icir_4h,w_mid_6h,icir_6h,inter_long,w_long_8h,icir_8h,w_long_12h,icir_12h
2000,2019-08-13 23:00:00,0.3333,0.3333,0.0,0.0,0.0,0.3333,0.3333,0.0,0.0,0.0,0.3333,0.3333,0.0,0.0,0.0
3000,2020-06-09 15:00:00,0.3333,0.3333,0.0,0.0,0.0,0.3333,0.3333,0.0,0.0,0.0,0.3333,0.3333,0.0,0.0,0.0
4000,2021-03-08 11:15:00,0.4379,0.4379,0.4135,0.0,0.2348,0.3257,0.3257,0.3075,0.0,0.2778,0.2364,0.0,0.1297,0.2364,0.2232
5000,2021-11-30 15:00:00,0.3134,0.3134,0.2216,0.0,0.0377,0.0918,0.0,0.0435,0.0918,0.0649,0.5947,0.0,0.0804,0.5947,0.4205
6000,2022-08-24 15:00:00,0.3746,0.3746,0.2995,0.0,0.2676,0.1704,0.1704,0.1362,0.0,0.0674,0.4551,0.0,0.0979,0.4551,0.3639
7000,2023-05-24 23:00:00,0.6912,0.6912,0.4858,0.0,0.1945,0.0026,0.0,0.0002,0.0026,0.0018,0.3062,0.0,0.1103,0.3062,0.2152
8000,2024-02-20 23:00:00,0.3629,0.3629,0.2323,0.0,0.0966,0.3361,0.3361,0.2151,0.0,0.0276,0.3009,0.0,0.0204,0.3009,0.1926
9000,2024-11-15 11:15:00,0.2939,0.2939,0.2086,0.0,0.0397,0.2761,0.0,0.0092,0.2761,0.1959,0.43,0.0,0.1876,0.43,0.3051
10000,2025-08-12 11:15:00,0.1991,0.0,0.1135,0.1991,0.1278,0.2396,0.0,0.0449,0.2396,0.1539,0.5613,0.0,0.1279,0.5613,0.3604
