,"组合1（spread_20h_1,high_low_rat...）","组合2（spread_20h_1,ma_ret_20h...）","组合3（ma_ret_8h,spread_20h_1...）","组合4（amihud_volat,price_impact...）","组合5（ma_ret_12h,spread_20h_1...）"
"组合1（spread_20h_1,high_low_rat...）",1.0,0.9256272743390822,0.9488939191720575,0.7813229318780156,0.7478744061736905
"组合2（spread_20h_1,ma_ret_20h...）",0.9256272743390822,1.0,0.934073643465481,0.7686303435887861,0.7534416008547039
"组合3（ma_ret_8h,spread_20h_1...）",0.9488939191720575,0.934073643465481,1.0,0.7872268101052332,0.7857818814968105
"组合4（amihud_volat,price_impact...）",0.7813229318780156,0.7686303435887861,0.7872268101052332,1.0,0.8405359264907855
"组合5（ma_ret_12h,spread_20h_1...）",0.7478744061736905,0.7534416008547039,0.7857818814968105,0.8405359264907855,1.0
