trial,score,oos_sharpe,mean_abs_corr,n_factors,optional,all_factors
131,1.3417016774364279,1.3634382074850646,0.08694612019454706,18,x_p_ret_8h|x_macd_hist_240min|x_ma5_ma20_240min|x_price_delta_trend_8slot|x_trend_break_8slot|x_price_jump_240min|x_price_jump_8slot|x_spread_1h|x_fractal_dim_8slot|x_cvd_8slot|x_vol_change_rate_8slot|x_price_accel_8slot|x_close_pos_ratio_8slot|x_volume_y|x_vol_ma_ratio_240min|x_open_interest_y,x_vwap_8slot|x_ma_ret_icir|x_p_ret_8h|x_macd_hist_240min|x_ma5_ma20_240min|x_price_delta_trend_8slot|x_trend_break_8slot|x_price_jump_240min|x_price_jump_8slot|x_spread_1h|x_fractal_dim_8slot|x_cvd_8slot|x_vol_change_rate_8slot|x_price_accel_8slot|x_close_pos_ratio_8slot|x_volume_y|x_vol_ma_ratio_240min|x_open_interest_y
104,1.3170138496564594,1.3444327628157435,0.10967565263713656,26,x_cci_8slot|x_williams_r_8slot|x_price_channel_breakout_240min|x_sar_diff_240min|x_aroon_osc_240min|x_price_delta_trend_8slot|x_overnight_return_8slot|x_trend1_8slot|x_price_jump_240min|x_price_jump_8slot|x_ma_bar_ret|x_atr_8slot|x_cvd_8slot|x_vol_change_rate_8slot|x_gap_ratio_240min|x_linearreg_ma_240min|x_kurtosis_240min|x_close_pos_ratio_8slot|x_ad_line_8slot|x_boll_lower_8slot|x_rel_vol_240min|x_vol_mom_240min|x_vwap_pv|x_open_interest_x,x_vwap_8slot|x_ma_ret_icir|x_cci_8slot|x_williams_r_8slot|x_price_channel_breakout_240min|x_sar_diff_240min|x_aroon_osc_240min|x_price_delta_trend_8slot|x_overnight_return_8slot|x_trend1_8slot|x_price_jump_240min|x_price_jump_8slot|x_ma_bar_ret|x_atr_8slot|x_cvd_8slot|x_vol_change_rate_8slot|x_gap_ratio_240min|x_linearreg_ma_240min|x_kurtosis_240min|x_close_pos_ratio_8slot|x_ad_line_8slot|x_boll_lower_8slot|x_rel_vol_240min|x_vol_mom_240min|x_vwap_pv|x_open_interest_x
74,1.307947333424764,1.3291877275516957,0.08496157650772666,23,x_sar_diff_8slot|x_p_ret_20h|x_ma5_ma20_240min|x_overnight_return_8slot|x_trend_break2_8slot|x_price_jump_240min|x_price_jump_8slot|x_spread_2h|x_atr_8slot|x_cvd_8slot|x_vol_change_rate_8slot|x_gap_ratio_240min|x_price_accel_8slot|x_close_pos_ratio_8slot|x_ad_line_8slot|x_price_ma250_dev_240min|x_vol_change_rate_240min|x_vol_mom_240min|x_vwap_pv|x_open_interest_x|x_session_sin,x_vwap_8slot|x_ma_ret_icir|x_sar_diff_8slot|x_p_ret_20h|x_ma5_ma20_240min|x_overnight_return_8slot|x_trend_break2_8slot|x_price_jump_240min|x_price_jump_8slot|x_spread_2h|x_atr_8slot|x_cvd_8slot|x_vol_change_rate_8slot|x_gap_ratio_240min|x_price_accel_8slot|x_close_pos_ratio_8slot|x_ad_line_8slot|x_price_ma250_dev_240min|x_vol_change_rate_240min|x_vol_mom_240min|x_vwap_pv|x_open_interest_x|x_session_sin
103,1.30758831472641,1.3339537891970719,0.10546189788264702,22,x_ease_of_movement_8slot|x_p_ret_12h|x_price_channel_breakout_240min|x_sar_diff_240min|x_aroon_osc_240min|x_overnight_vol_8slot|x_trend_break_8slot|x_price_jump_8slot|x_ma_bar_ret|x_atr_8slot|x_vol_change_rate_8slot|x_gap_ratio_240min|x_linearreg_ma_240min|x_close_pos_ratio_8slot|x_obv_240min|x_price_ma250_dev_240min|x_rel_vol_240min|x_vol_mom_240min|x_buy_vol|x_open_interest_x,x_vwap_8slot|x_ma_ret_icir|x_ease_of_movement_8slot|x_p_ret_12h|x_price_channel_breakout_240min|x_sar_diff_240min|x_aroon_osc_240min|x_overnight_vol_8slot|x_trend_break_8slot|x_price_jump_8slot|x_ma_bar_ret|x_atr_8slot|x_vol_change_rate_8slot|x_gap_ratio_240min|x_linearreg_ma_240min|x_close_pos_ratio_8slot|x_obv_240min|x_price_ma250_dev_240min|x_rel_vol_240min|x_vol_mom_240min|x_buy_vol|x_open_interest_x
40,1.306566988350502,1.3292889745274958,0.09088794470797579,24,x_ma5_ma20_8slot|x_roc_8slot|x_macd_hist_240min|x_ease_of_movement_240min|x_price_delta_trend_8slot|x_trend_8slot|x_price_jump_240min|x_absorption_8slot|x_spread_6h|x_atr_8slot|x_cvd_8slot|x_vol_change_rate_8slot|x_gap_ratio_240min|x_price_accel_8slot|x_hurst_240min|x_close_pos_ratio_8slot|x_distribute_8slot|x_ma20_8slot|x_volume_y|x_vwap_pv|x_open_interest_x|x_session_sin,x_vwap_8slot|x_ma_ret_icir|x_ma5_ma20_8slot|x_roc_8slot|x_macd_hist_240min|x_ease_of_movement_240min|x_price_delta_trend_8slot|x_trend_8slot|x_price_jump_240min|x_absorption_8slot|x_spread_6h|x_atr_8slot|x_cvd_8slot|x_vol_change_rate_8slot|x_gap_ratio_240min|x_price_accel_8slot|x_hurst_240min|x_close_pos_ratio_8slot|x_distribute_8slot|x_ma20_8slot|x_volume_y|x_vwap_pv|x_open_interest_x|x_session_sin
54,1.3041895128344392,1.329611884199325,0.1016894854595434,22,x_p_ret_8h|x_price_channel_breakout_240min|x_macd_hist_240min|x_ma20_ma60_8slot|x_price_delta_trend_8slot|x_trend_break2_8slot|x_ma_midday_ret|x_price_jump_8slot|x_spread_4h|x_cvd_8slot|x_vol_change_rate_8slot|x_gap_ratio_240min|x_is_night|x_close_pos_ratio_8slot|x_ad_line_8slot|x_ma20_8slot|x_volume_y|x_vol_mom_240min|x_vwap_pv|x_open_interest_x,x_vwap_8slot|x_ma_ret_icir|x_p_ret_8h|x_price_channel_breakout_240min|x_macd_hist_240min|x_ma20_ma60_8slot|x_price_delta_trend_8slot|x_trend_break2_8slot|x_ma_midday_ret|x_price_jump_8slot|x_spread_4h|x_cvd_8slot|x_vol_change_rate_8slot|x_gap_ratio_240min|x_is_night|x_close_pos_ratio_8slot|x_ad_line_8slot|x_ma20_8slot|x_volume_y|x_vol_mom_240min|x_vwap_pv|x_open_interest_x
128,1.2945247181928852,1.322771498405116,0.112987120848923,22,x_ease_of_movement_8slot|x_williams_r_8slot|x_price_channel_breakout_240min|x_sar_diff_240min|x_aroon_osc_240min|x_overnight_return_8slot|x_trend_break_8slot|x_price_jump_8slot|x_ma_bar_ret|x_atr_8slot|x_cvd_8slot|x_vol_change_rate_8slot|x_gap_ratio_240min|x_linearreg_ma_240min|x_close_pos_ratio_8slot|x_ad_line_8slot|x_obv_8slot|x_rel_vol_240min|x_vol_mom_240min|x_vwap_pv,x_vwap_8slot|x_ma_ret_icir|x_ease_of_movement_8slot|x_williams_r_8slot|x_price_channel_breakout_240min|x_sar_diff_240min|x_aroon_osc_240min|x_overnight_return_8slot|x_trend_break_8slot|x_price_jump_8slot|x_ma_bar_ret|x_atr_8slot|x_cvd_8slot|x_vol_change_rate_8slot|x_gap_ratio_240min|x_linearreg_ma_240min|x_close_pos_ratio_8slot|x_ad_line_8slot|x_obv_8slot|x_rel_vol_240min|x_vol_mom_240min|x_vwap_pv
51,1.2921443433564124,1.3173519535737706,0.10083044086943259,20,x_ease_of_movement_8slot|x_p_ret_8h|x_sar_diff_240min|x_price_delta_trend_8slot|x_trend_break_8slot|x_price_jump_240min|x_price_jump_8slot|x_spread_6h|x_atr_8slot|x_cvd_8slot|x_overnight_return_240min|x_price_accel_8slot|x_close_pos_ratio_8slot|x_ad_line_8slot|x_volume_y|x_vol_mom_240min|x_vwap_pv|x_open_interest_y,x_vwap_8slot|x_ma_ret_icir|x_ease_of_movement_8slot|x_p_ret_8h|x_sar_diff_240min|x_price_delta_trend_8slot|x_trend_break_8slot|x_price_jump_240min|x_price_jump_8slot|x_spread_6h|x_atr_8slot|x_cvd_8slot|x_overnight_return_240min|x_price_accel_8slot|x_close_pos_ratio_8slot|x_ad_line_8slot|x_volume_y|x_vol_mom_240min|x_vwap_pv|x_open_interest_y
4,1.2902874102426918,1.312941435269696,0.09061610010801692,20,x_mom5_240min|x_williams_r_8slot|x_macd_hist_240min|x_price_ma250_dev_8slot|x_gap_ratio_8slot|x_trend_break_8slot|x_absorption_8slot|x_spread_2h|x_fractal_dim_8slot|x_vol_change_rate_8slot|x_overnight_vol_240min|x_hurst_240min|x_distribute_8slot|x_price_ma250_dev_240min|x_rel_vol_240min|x_volume_x|x_open_interest_y|x_session_sin,x_vwap_8slot|x_ma_ret_icir|x_mom5_240min|x_williams_r_8slot|x_macd_hist_240min|x_price_ma250_dev_8slot|x_gap_ratio_8slot|x_trend_break_8slot|x_absorption_8slot|x_spread_2h|x_fractal_dim_8slot|x_vol_change_rate_8slot|x_overnight_vol_240min|x_hurst_240min|x_distribute_8slot|x_price_ma250_dev_240min|x_rel_vol_240min|x_volume_x|x_open_interest_y|x_session_sin
105,1.2882269225112315,1.312821021228588,0.09837639486942615,22,x_p_ret_8h|x_price_channel_breakout_8slot|x_macd_hist_240min|x_ma5_ma20_240min|x_price_delta_trend_8slot|x_trend_break_8slot|x_ma_midday_ret|x_absorption_8slot|x_spread_4h|x_atr_8slot|x_cvd_8slot|x_vol_change_rate_8slot|x_overnight_vol_240min|x_is_night|x_close_pos_ratio_8slot|x_ad_line_8slot|x_volume_y|x_vol_mom_240min|x_vwap_pv|x_open_interest_x,x_vwap_8slot|x_ma_ret_icir|x_p_ret_8h|x_price_channel_breakout_8slot|x_macd_hist_240min|x_ma5_ma20_240min|x_price_delta_trend_8slot|x_trend_break_8slot|x_ma_midday_ret|x_absorption_8slot|x_spread_4h|x_atr_8slot|x_cvd_8slot|x_vol_change_rate_8slot|x_overnight_vol_240min|x_is_night|x_close_pos_ratio_8slot|x_ad_line_8slot|x_volume_y|x_vol_mom_240min|x_vwap_pv|x_open_interest_x
