datetime,date,time,prediction,actual_return,strategy_return,daily_volume,position,cumulative_value,price,is_switch,signal,price_return
2020-10-09 14:59:00,2020-10-09,14:59,0.0009257468518764053,0.0,0.0,0,0.0,1.0,6082.0,False,0.0,0.0
2020-10-12 11:29:00,2020-10-12,11:29,0.0024326843048657846,0.028609010194015072,0.0,1,0.0,1.0,6256.0,False,1.0,0.028609010194015072
2020-10-12 14:59:00,2020-10-12,14:59,0.0011993571770188495,0.0,0.0,0,1.0,1.0,6256.0,False,1.0,0.0
2020-10-12 22:59:00,2020-10-12,22:59,0.0010967687193893377,-0.012787723785166238,-0.012787723785166238,0,1.0,0.9872122762148338,6176.0,False,1.0,-0.012787723785166238
2020-10-13 11:29:00,2020-10-13,11:29,0.0007879877980504481,0.007772020725388629,0.007772020725388629,0,1.0,0.9949842969402224,6224.0,False,1.0,0.007772020725388629
2020-10-13 14:59:00,2020-10-13,14:59,0.0021215850639527464,0.00032133676092538366,0.00032133676092538366,0,1.0,0.9953056337011478,6226.0,False,1.0,0.00032133676092538366
2020-10-13 22:59:00,2020-10-13,22:59,0.002027414436849195,-0.0012849341471249387,-0.0012849341471249387,0,1.0,0.9940206995540228,6218.0,False,1.0,-0.0012849341471249387
2020-10-14 11:29:00,2020-10-14,11:29,0.0018026480699530791,-0.00032164683177871023,-0.00032164683177871023,0,1.0,0.9936990527222441,6216.0,False,1.0,-0.00032164683177871023
2020-10-14 14:59:00,2020-10-14,14:59,0.00415290394061932,0.009330759330759442,0.009330759330759442,0,1.0,1.0030298120530037,6274.0,False,1.0,0.009330759330759442
2020-10-14 22:59:00,2020-10-14,22:59,0.002952209475105927,-0.005419190309212674,-0.005419190309212674,0,1.0,0.9976106217437909,6240.0,False,1.0,-0.005419190309212674
2020-10-15 11:29:00,2020-10-15,11:29,0.0034379018081818007,-0.009294871794871762,-0.009294871794871762,0,1.0,0.9883157499489191,6182.0,False,1.0,-0.009294871794871762
