date,prediction,actual_return,strategy_return,daily_volume,position,cumulative_value,price,is_switch,open,signal,price_return
2018-04-17 10:40:00,-0.0005482070047031337,-0.0008032128514056103,-0.0,0,0.0,1.0,4980.0,False,4980.0,-1.0,-0.0008032128514056103
2018-04-17 11:25:00,0.0007215650945861835,-0.002813504823151125,0.002813504823151125,1,-1.0,1.002813504823151,4976.0,False,4976.0,0.0,-0.002813504823151125
2018-04-17 14:10:00,0.0008323935043966605,0.0016122531237403592,0.0,1,0.0,1.002813504823151,4962.0,False,4962.0,1.0,0.0016122531237403592
2018-04-17 14:55:00,0.00023301453624314052,0.005231388329979936,0.005231388329979936,1,1.0,1.008044893153131,4970.0,False,4970.0,1.0,0.005231388329979936
2018-04-17 21:35:00,-0.0008139047530558674,-0.0004003202562049557,-0.0004003202562049557,0,1.0,1.007644572896926,4996.0,False,4996.0,0.0,-0.0004003202562049557
2018-04-18 09:40:00,0.0004750180357020258,-0.00040048057669206383,-0.0,1,0.0,1.007644572896926,4994.0,False,4994.0,1.0,-0.00040048057669206383
2018-04-18 10:40:00,0.00013992418030176623,0.0024038461538462563,0.0024038461538462563,1,1.0,1.0100484190507724,4992.0,False,4992.0,1.0,0.0024038461538462563
2018-04-18 11:25:00,0.00043377075953047756,-0.001998401278976769,-0.001998401278976769,0,1.0,1.0080500177717955,5004.0,False,5004.0,1.0,-0.001998401278976769
2018-04-18 14:10:00,0.0005820211609537079,0.0004004805766919528,0.0004004805766919528,0,1.0,1.0084504983484877,4994.0,False,4994.0,1.0,0.0004004805766919528
2018-04-18 14:55:00,3.89361327531356e-05,0.0020016012810248895,0.0020016012810248895,0,1.0,1.0104520996295125,4996.0,False,4996.0,1.0,0.0020016012810248895
2018-04-18 21:35:00,-0.00042600000236905325,0.0007990411506193507,0.0007990411506193507,0,1.0,1.0112511407801317,5006.0,False,5006.0,0.0,0.0007990411506193507
2018-04-19 09:40:00,0.00037220439524727995,0.0011976047904191933,0.0,1,0.0,1.0112511407801317,5010.0,False,5010.0,0.0,0.0011976047904191933
2018-04-19 10:40:00,0.00011367068043352903,0.0,0.0,1,0.0,1.0112511407801317,5016.0,False,5016.0,0.0,0.0
2018-04-19 11:25:00,0.0003454458405878826,-0.0015948963317384823,-0.0,0,0.0,1.0112511407801317,5016.0,False,5016.0,0.0,-0.0015948963317384823
2018-04-19 14:10:00,0.0005156025744346366,0.0003993610223642641,0.0,0,0.0,1.0112511407801317,5008.0,False,5008.0,1.0,0.0003993610223642641
2018-04-19 14:55:00,-2.392817402800833e-05,0.0011976047904191933,0.0011976047904191933,0,1.0,1.012448745570551,5010.0,False,5010.0,0.0,0.0011976047904191933
2018-04-19 21:35:00,-0.00041713632929411316,0.0031897926634769647,0.0,1,0.0,1.012448745570551,5016.0,False,5016.0,0.0,0.0031897926634769647
2018-04-20 09:40:00,0.0003853706679062144,0.0,0.0,1,0.0,1.012448745570551,5032.0,False,5032.0,0.0,0.0
2018-04-20 10:40:00,0.0001675033109139735,0.0,0.0,1,0.0,1.012448745570551,5032.0,False,5032.0,0.0,0.0
2018-04-20 11:25:00,0.0004145675276782569,-0.002782193958664525,-0.0,1,0.0,1.012448745570551,5032.0,False,5032.0,0.0,-0.002782193958664525
2018-04-20 14:10:00,0.0006026824414967739,-0.0011956954962136779,-0.0,0,0.0,1.012448745570551,5018.0,False,5018.0,1.0,-0.0011956954962136779
2018-04-20 14:55:00,0.00013231786193024003,0.0,0.0,0,1.0,1.012448745570551,5012.0,False,5012.0,1.0,0.0
2018-04-20 21:35:00,-0.0002211321532844945,0.002394253790901857,0.002394253790901857,0,1.0,1.014842999361453,5012.0,False,5012.0,0.0,0.002394253790901857
2018-04-23 09:40:00,0.000541823287071042,0.001990445859872514,0.0,1,0.0,1.014842999361453,5024.0,False,5024.0,1.0,0.001990445859872514
2018-04-23 10:40:00,0.00035356429837436385,-0.002781088597536785,-0.002781088597536785,1,1.0,1.012061910763916,5034.0,False,5034.0,1.0,-0.002781088597536785
2018-04-23 11:25:00,0.0005109834290664475,0.0007968127490038945,0.0007968127490038945,0,1.0,1.0128587235129198,5020.0,False,5020.0,1.0,0.0007968127490038945
2018-04-23 14:10:00,0.0007910756585931131,-0.00039808917197448057,-0.00039808917197448057,0,1.0,1.0124606343409455,5024.0,False,5024.0,1.0,-0.00039808917197448057
2018-04-23 14:55:00,0.0001745642559778134,-0.007168458781361964,-0.007168458781361964,0,1.0,1.0052921755595836,5022.0,False,5022.0,1.0,-0.007168458781361964
2018-04-24 09:40:00,-0.00013129929164260214,0.0008022462896108973,0.0008022462896108973,0,1.0,1.0060944218491943,4986.0,False,4986.0,0.0,0.0008022462896108973
2018-04-24 10:40:00,9.709865760543583e-05,-0.00040080160320643543,-0.0,1,0.0,1.0060944218491943,4990.0,False,4990.0,0.0,-0.00040080160320643543
