,"组合1（obv_60min,intraday_ret...）","组合2（ma5_ma20_240,boll_lower_6...）","组合3（boll_lower_6,intraday_ret...）","组合4（intraday_ret,ease_of_move...）","组合5（boll_lower_6,price_channe...）"
"组合1（obv_60min,intraday_ret...）",1.0,0.7779536565350277,0.898742486645547,0.8839683442567752,0.8752931625790786
"组合2（ma5_ma20_240,boll_lower_6...）",0.7779536565350277,1.0,0.8011504785920621,0.8417242486931498,0.8465926080754911
"组合3（boll_lower_6,intraday_ret...）",0.898742486645547,0.8011504785920621,1.0,0.9200616790499835,0.8610525877655205
"组合4（intraday_ret,ease_of_move...）",0.8839683442567752,0.8417242486931498,0.9200616790499835,1.0,0.8728319510718312
"组合5（boll_lower_6,price_channe...）",0.8752931625790786,0.8465926080754911,0.8610525877655205,0.8728319510718312,1.0
