bar_idx,time,inter_short,w_short_1h,w_short_2h,inter_mid,w_mid_4h,w_mid_6h,inter_long,w_long_8h,w_long_12h
2000,2023-09-15 14:59:00,0.0843,0.0,0.0843,0.4628,0.0,0.4628,0.4528,0.4528,0.0
3000,2025-03-18 22:59:00,0.1822,0.1822,0.0,0.3654,0.0,0.3654,0.4524,0.2177,0.2348
