,组合1（volume_ma_ra）,组合2（）,组合3（volume_ma_ra）,"组合4（kurtosis,volume_ma_ra）","组合5（volume_ma_ra,spread_8h）"
组合1（volume_ma_ra）,1.0,0.8369168764106255,0.9133479773986805,0.7088870105054267,0.9782103471422745
组合2（）,0.8369168764106255,1.0,0.8878825929415114,0.6276857027410574,0.816427147806306
组合3（volume_ma_ra）,0.9133479773986805,0.8878825929415114,1.0,0.7212563438951376,0.9050125971600149
"组合4（kurtosis,volume_ma_ra）",0.7088870105054267,0.6276857027410574,0.7212563438951376,1.0,0.7001216940237881
"组合5（volume_ma_ra,spread_8h）",0.9782103471422745,0.816427147806306,0.9050125971600149,0.7001216940237881,1.0
