cluster_id,size,top_factor,best_res_ic_ir,candidates
1,6,x_spread_20h,0.6934200898048473,x_spread_20h | x_spread_12h
2,6,x_ma_ret_6h,0.7331632069514799,x_ma_ret_6h | x_ma_ret_20h
3,2,x_price_jump,0.5419501855570971,x_price_jump | x_price_jump_1
4,6,x_is_night,0.8236336746370369,x_is_night | x_session_sin
5,2,x_hurst_exponent_1,0.4258491235746872,x_hurst_exponent_1 | x_hurst_exponent
6,3,x_volume_ma_ratio_1,0.499572684151888,x_volume_ma_ratio_1 | x_aroon_up
7,2,x_liquidity_indicator,0.5751483780581297,x_liquidity_indicator | x_liquidity_indicator_1
8,4,x_high_low_ratio_1,0.8087061300417766,x_high_low_ratio_1 | x_high_low_ratio
9,11,x_money_flow_index,0.6100633811388675,x_money_flow_index | x_money_flow_ratio
10,2,x_kyle_lambda_lag_1,0.4054960513004686,x_kyle_lambda_lag_1 | x_kyle_lambda_lag
11,2,x_open_interest,0.5602282133773995,x_open_interest | x_open_interest_1
12,4,x_price_volume_trend,0.5899429598599105,x_price_volume_trend | x_price_volume_trend_1
