date,signal,signal_zscore,position,price,actual_ret,strategy_return
2018-05-08 10:40:00,0.0,0.0,0.0,4988.0,-0.000801924619085792,-0.0
2018-05-08 11:25:00,0.0,0.0,0.0,4990.0,0.0012038523274477964,0.0
2018-05-08 14:10:00,0.0,0.0,0.0,4988.0,0.002805611222444826,0.0
2018-05-08 14:55:00,0.0,0.0,0.0,4984.0,0.004796163069544335,0.0
2018-05-08 21:35:00,0.0,0.0,0.0,4990.0,0.0019888623707240427,0.0
2018-05-09 09:40:00,0.0,0.0,0.0,5004.0,-0.0011909487892021176,-0.0
2018-05-09 10:40:00,0.0,0.0,0.0,5028.0,0.0003974562798092496,0.0
2018-05-09 11:25:00,0.0,0.0,0.0,5038.0,-0.0003972983710767153,-0.0
2018-05-09 14:10:00,0.0,0.0,0.0,5032.0,0.004372019077901523,0.0
2018-05-09 14:55:00,0.0,0.0,0.0,5034.0,0.008310249307479145,0.0
2018-05-09 21:35:00,0.0,0.0,0.0,5032.0,-0.0007849293563578774,-0.0
2018-05-10 09:40:00,0.0,0.0,0.0,5054.0,0.0,0.0
2018-05-10 10:40:00,0.0,0.0,0.0,5096.0,-0.0007855459544383603,-0.0
2018-05-10 11:25:00,0.0,0.0,0.0,5092.0,0.0007861635220125507,0.0
2018-05-10 14:10:00,0.0,0.0,0.0,5092.0,-0.0007855459544383603,-0.0
2018-05-10 14:55:00,0.0,0.0,0.0,5088.0,0.003144654088050425,0.0
2018-05-10 21:35:00,0.0,0.0,0.0,5092.0,-0.00039184952978055243,-0.0
2018-05-11 09:40:00,0.0,0.0,0.0,5088.0,-0.0003920031360250542,-0.0
2018-05-11 10:40:00,0.0,0.0,0.0,5104.0,-0.00039215686274507444,-0.0
2018-05-11 11:25:00,0.0,0.0,0.0,5102.0,-0.0003923107100823886,-0.0
2018-05-11 14:10:00,0.0,0.0,0.0,5100.0,0.0011773940345369827,0.0
2018-05-11 14:55:00,0.0,0.0,0.0,5098.0,-0.0003920031360250542,-0.0
2018-05-11 21:35:00,0.0,0.0,0.0,5096.0,-0.0007843137254901489,-0.0
2018-05-14 09:40:00,0.0,0.0,0.0,5102.0,-0.003924646781789609,-0.0
