cluster_id,size,medoid,members
1,2,x_volume_acceleration,x_volume_acceleration|x_volume_change_rate
2,1,x_adx,x_adx
3,1,x_trend_strength,x_trend_strength
4,1,x_hurst_exponent,x_hurst_exponent
5,1,x_kyle_lambda_lag,x_kyle_lambda_lag
6,2,x_volume_profile_fast,x_volume_profile_fast|x_volume_profile_indicator
7,1,x_ma_afternoon_ret,x_ma_afternoon_ret
8,1,x_ma_bar_ret,x_ma_bar_ret
9,3,x_gap_ratio,x_gap_ratio|x_overnight_return|x_overnight_volatility
10,3,x_spread_2h,x_spread_1h|x_spread_2h|x_spread_4h
11,4,x_spread_8h,x_spread_12h|x_spread_20h|x_spread_6h|x_spread_8h
12,7,x_p_ret_6h,x_p_ret_12h|x_p_ret_1h|x_p_ret_2h|x_p_ret_4h|x_p_ret_6h|x_p_ret_8h|x_vwap_dev
13,7,x_price_reversal_1d,x_close_position_ratio|x_delta|x_intraday_return|x_log_return_1d|x_ofi|x_price_reversal_1d|x_return_1d
14,1,x_price_acceleration,x_price_acceleration
15,1,x_price_channel_breakout,x_price_channel_breakout
16,2,x_ma_ret_1h,x_ma_ret_1h|x_ma_ret_2h
17,5,x_ma_ret_8h,x_ma_ret_12h|x_ma_ret_20h|x_ma_ret_4h|x_ma_ret_6h|x_ma_ret_8h
18,2,x_skewness,x_skewness|x_volume_price_correlation
19,5,x_p_ret_20h,x_linearreg_ma|x_macd_histogram|x_p_ret_20h|x_return_5d|x_roc
20,18,x_stoch_k,x_ad|x_aroon_down|x_aroon_oscillator|x_aroon_up|x_bollinger_position|x_cci|x_chaikin_oscillator|x_donchian_position|x_keltner_position|x_money_flow_index|x_money_flow_ratio|x_qstick|x_rsi_14d|x_rvi|x_stoch_d|x_stoch_k|x_ultimate_oscillator|x_williams_r
21,8,x_momentum_20d,x_klinger|x_macd|x_macd_signal|x_momentum_20d|x_sharpe|x_trix|x_vol_weighted_return|x_volume_weighted_return
22,1,x_ease_of_movement,x_ease_of_movement
23,1,x_price_ma250_dev,x_price_ma250_dev
24,1,x_market_depth_imbalance,x_market_depth_imbalance
25,1,x_amihud_volatility,x_amihud_volatility
26,1,x_volatility_ratio,x_volatility_ratio
27,1,x_kurtosis,x_kurtosis
28,1,x_price_impact,x_price_impact
29,3,x_turnover,x_intraday_volatility|x_relative_volume|x_turnover
30,1,x_volume_ma_ratio,x_volume_ma_ratio
31,1,x_amihud_illiquidity,x_amihud_illiquidity
32,1,x_price_jump,x_price_jump
33,1,x_volume_momentum,x_volume_momentum
34,6,x_boll_lower,x_accumulation_distribution|x_boll_lower|x_boll_upper|x_obv|x_parabolic_sar|x_vwap
35,6,x_parkinson_volatility,x_atr|x_fractal_dimension|x_high_low_ratio|x_kyle_lambda|x_parkinson_volatility|x_realized_volatility
36,1,x_price_volume_trend,x_price_volume_trend
37,1,x_open_interest,x_open_interest
38,1,x_ma_midday_ret,x_ma_midday_ret
39,1,x_liquidity_indicator,x_liquidity_indicator
