trial,cv_score,mac,n_factors,optional,all_factors
33,2.415503580371888,0.08853701291610493,8,x_skewness|x_stoch_k|x_price_ma250_dev|x_volatility_ratio|x_price_impact|x_boll_lower|x_open_interest,x_ma_ret_4h|x_skewness|x_stoch_k|x_price_ma250_dev|x_volatility_ratio|x_price_impact|x_boll_lower|x_open_interest
87,2.415503580371888,0.08853701291610493,8,x_skewness|x_stoch_k|x_price_ma250_dev|x_volatility_ratio|x_price_impact|x_boll_lower|x_open_interest,x_ma_ret_4h|x_skewness|x_stoch_k|x_price_ma250_dev|x_volatility_ratio|x_price_impact|x_boll_lower|x_open_interest
96,2.415503580371888,0.08853701291610493,8,x_skewness|x_stoch_k|x_price_ma250_dev|x_volatility_ratio|x_price_impact|x_boll_lower|x_open_interest,x_ma_ret_4h|x_skewness|x_stoch_k|x_price_ma250_dev|x_volatility_ratio|x_price_impact|x_boll_lower|x_open_interest
95,2.415503580371888,0.08853701291610493,8,x_skewness|x_stoch_k|x_price_ma250_dev|x_volatility_ratio|x_price_impact|x_boll_lower|x_open_interest,x_ma_ret_4h|x_skewness|x_stoch_k|x_price_ma250_dev|x_volatility_ratio|x_price_impact|x_boll_lower|x_open_interest
86,2.415503580371888,0.08853701291610493,8,x_skewness|x_stoch_k|x_price_ma250_dev|x_volatility_ratio|x_price_impact|x_boll_lower|x_open_interest,x_ma_ret_4h|x_skewness|x_stoch_k|x_price_ma250_dev|x_volatility_ratio|x_price_impact|x_boll_lower|x_open_interest
85,2.415503580371888,0.08853701291610493,8,x_skewness|x_stoch_k|x_price_ma250_dev|x_volatility_ratio|x_price_impact|x_boll_lower|x_open_interest,x_ma_ret_4h|x_skewness|x_stoch_k|x_price_ma250_dev|x_volatility_ratio|x_price_impact|x_boll_lower|x_open_interest
91,2.415503580371888,0.08853701291610493,8,x_skewness|x_stoch_k|x_price_ma250_dev|x_volatility_ratio|x_price_impact|x_boll_lower|x_open_interest,x_ma_ret_4h|x_skewness|x_stoch_k|x_price_ma250_dev|x_volatility_ratio|x_price_impact|x_boll_lower|x_open_interest
92,2.415503580371888,0.08853701291610493,8,x_skewness|x_stoch_k|x_price_ma250_dev|x_volatility_ratio|x_price_impact|x_boll_lower|x_open_interest,x_ma_ret_4h|x_skewness|x_stoch_k|x_price_ma250_dev|x_volatility_ratio|x_price_impact|x_boll_lower|x_open_interest
89,2.415503580371888,0.08853701291610493,8,x_skewness|x_stoch_k|x_price_ma250_dev|x_volatility_ratio|x_price_impact|x_boll_lower|x_open_interest,x_ma_ret_4h|x_skewness|x_stoch_k|x_price_ma250_dev|x_volatility_ratio|x_price_impact|x_boll_lower|x_open_interest
94,2.415503580371888,0.08853701291610493,8,x_skewness|x_stoch_k|x_price_ma250_dev|x_volatility_ratio|x_price_impact|x_boll_lower|x_open_interest,x_ma_ret_4h|x_skewness|x_stoch_k|x_price_ma250_dev|x_volatility_ratio|x_price_impact|x_boll_lower|x_open_interest
93,2.415503580371888,0.08853701291610493,8,x_skewness|x_stoch_k|x_price_ma250_dev|x_volatility_ratio|x_price_impact|x_boll_lower|x_open_interest,x_ma_ret_4h|x_skewness|x_stoch_k|x_price_ma250_dev|x_volatility_ratio|x_price_impact|x_boll_lower|x_open_interest
65,2.3109834937103604,0.09214484017864916,10,x_hurst_exponent|x_spread_8h|x_price_ma250_dev|x_volatility_ratio|x_price_impact|x_boll_lower|x_parkinson_volatility|x_price_volume_trend|x_open_interest,x_ma_ret_4h|x_hurst_exponent|x_spread_8h|x_price_ma250_dev|x_volatility_ratio|x_price_impact|x_boll_lower|x_parkinson_volatility|x_price_volume_trend|x_open_interest
81,2.3109834937103604,0.09214484017864916,10,x_hurst_exponent|x_spread_8h|x_price_ma250_dev|x_volatility_ratio|x_price_impact|x_boll_lower|x_parkinson_volatility|x_price_volume_trend|x_open_interest,x_ma_ret_4h|x_hurst_exponent|x_spread_8h|x_price_ma250_dev|x_volatility_ratio|x_price_impact|x_boll_lower|x_parkinson_volatility|x_price_volume_trend|x_open_interest
68,2.3109834937103604,0.09214484017864916,10,x_hurst_exponent|x_spread_8h|x_price_ma250_dev|x_volatility_ratio|x_price_impact|x_boll_lower|x_parkinson_volatility|x_price_volume_trend|x_open_interest,x_ma_ret_4h|x_hurst_exponent|x_spread_8h|x_price_ma250_dev|x_volatility_ratio|x_price_impact|x_boll_lower|x_parkinson_volatility|x_price_volume_trend|x_open_interest
69,2.3109834937103604,0.09214484017864916,10,x_hurst_exponent|x_spread_8h|x_price_ma250_dev|x_volatility_ratio|x_price_impact|x_boll_lower|x_parkinson_volatility|x_price_volume_trend|x_open_interest,x_ma_ret_4h|x_hurst_exponent|x_spread_8h|x_price_ma250_dev|x_volatility_ratio|x_price_impact|x_boll_lower|x_parkinson_volatility|x_price_volume_trend|x_open_interest
