cluster_id,size,top_factor,best_res_ic_ir,candidates
1,1,x_linearreg_ma_240min,0.4507986389655507,x_linearreg_ma_240min
2,1,x_volume_profile_240min,0.44483319397955345,x_volume_profile_240min
3,1,x_hurst_240min,0.41459014553261675,x_hurst_240min
4,8,x_ease_of_movement_8slot,0.5675536748218316,x_ease_of_movement_8slot | x_bvwap_dev_8slot | x_vwap_dev_8slot | x_mom5_240min | x_roc_8slot | x_p_ret_12h
5,2,x_price_channel_breakout_8slot,0.4720738283835217,x_price_channel_breakout_8slot | x_price_channel_breakout_240min
6,5,x_sar_diff_240min,0.5606200461955041,x_sar_diff_240min | x_vwap_dev_240min | x_roc_240min | x_vol_weighted_return_8slot | x_macd_hist_240min
7,4,x_vol_change_rate_240min,0.6897469212012337,x_vol_change_rate_240min | x_rel_vol_240min | x_volume_y | x_turnover_y
8,2,x_vol_ma_ratio_240min,0.47922449270369455,x_vol_ma_ratio_240min | x_vol_mom_240min
9,2,x_open_interest_x,0.43675322570419006,x_open_interest_x | x_open_interest_y
10,3,x_price_delta_volume_8slot,0.49046769192595685,x_price_delta_volume_8slot | x_turnover_x | x_vwap_pv
11,5,x_boll_lower_8slot,0.5738790414450488,x_boll_lower_8slot | x_price_ma250_dev_240min | x_ma20_8slot | x_ma20_ma60_240min | x_pvt_8slot
12,1,x_obv_240min,0.6350732049300407,x_obv_240min
13,3,x_high_low_ratio_240min,0.4234424166291961,x_high_low_ratio_240min | x_high_low_ratio_8slot | x_fractal_dim_8slot
14,1,x_cvd_8slot,0.5479662195458587,x_cvd_8slot
15,1,x_price_jump_240min,0.6625680319120149,x_price_jump_240min
16,1,x_price_jump_8slot,0.6287919201256434,x_price_jump_8slot
17,3,x_overnight_vol_8slot,0.4507390001950208,x_overnight_vol_8slot | x_overnight_return_8slot | x_gap_ratio_8slot
18,1,x_is_night,0.607422971896895,x_is_night
19,1,x_price_delta_trend_8slot,0.5962430648250089,x_price_delta_trend_8slot
20,2,x_trend_8slot,0.5351663388568835,x_trend_8slot | x_trend1_8slot
21,1,x_distribute_8slot,0.6781656772419249,x_distribute_8slot
22,1,x_liquidity_240min,0.46580139287115974,x_liquidity_240min
