factor,appear_folds,is_must
x_parkinson_volatility,5,False
x_price_volume_trend,5,False
x_amihud_volatility,4,False
x_price_impact,4,False
x_spread_8h,4,False
x_volatility_ratio,4,False
x_kurtosis,4,False
x_ma_ret_8h,4,False
x_price_ma250_dev,4,False
x_p_ret_20h,4,False
x_open_interest,4,False
x_liquidity_indicator,4,False
x_is_night,3,True
x_session_sin,1,True
x_ma_ret_1h,0,True
