cluster_id,size,top_factor,best_res_ic_ir,candidates
1,3,x_ma20_ma60_240min,0.4601803323843646,x_ma20_ma60_240min | x_ma5_ma20_240min | x_ma20_ma60_60min
2,5,x_price_ma250_dev_240min,0.6028510269402638,x_price_ma250_dev_240min | x_boll_lower_60min | x_vwap_240min | x_obv_60min | x_bvwap_60min
3,2,x_price_channel_breakout_240min,0.3289797505475318,x_price_channel_breakout_240min | x_intraday_return_240min
4,4,x_ma5_ma20_60min,0.37320680336946316,x_ma5_ma20_60min | x_mfi_60min | x_money_flow_ratio_60min | x_ease_of_movement_60min
5,1,x_chaikin_osc_60min,0.2717549482553777,x_chaikin_osc_60min
6,1,x_ad_line_240min,0.3600910681050084,x_ad_line_240min
7,1,x_hurst_240min,0.2794663573333203,x_hurst_240min
8,3,x_overnight_vol_60min,0.5141185203055918,x_overnight_vol_60min | x_gap_ratio_60min | x_overnight_return_60min
9,1,x_absorption_60min,0.5045371847125746,x_absorption_60min
10,4,x_price_jump_60min,0.894690085337201,x_price_jump_60min | x_price_jump_240min | x_spread_1h | x_ma_midday_ret
11,3,x_overnight_vol_240min,0.28157827164343946,x_overnight_vol_240min | x_gap_ratio_240min | x_overnight_return_240min
12,2,x_price_channel_breakout_60min,0.4785721903375618,x_price_channel_breakout_60min | x_skew_60min
13,3,x_high_low_ratio_60min,0.345227730020412,x_high_low_ratio_60min | x_high_low_ratio_240min | x_fractal_dim_60min
14,2,x_cvd_60min,0.4643578355373239,x_cvd_60min | x_fractal_dim_240min
15,1,x_price_delta_trend_60min,0.723139774460241,x_price_delta_trend_60min
16,1,x_vpin_zscore_60min,0.2747873224184568,x_vpin_zscore_60min
17,2,x_is_night,0.7457249192869744,x_is_night | x_session_sin
18,1,x_volume_profile_240min,0.3141239924851147,x_volume_profile_240min
19,3,x_price_delta_volume_60min,0.47267944169527193,x_price_delta_volume_60min | x_turnover_x | x_vwap_pv
20,1,x_vpin_zscore_filtered_60min,0.7038108252981453,x_vpin_zscore_filtered_60min
21,1,x_rel_vol_240min,0.29527682188622234,x_rel_vol_240min
22,2,x_distribute_60min,0.8743834883116617,x_distribute_60min | x_trend_60min
23,2,x_hurst_60min,0.38009339872831027,x_hurst_60min | x_kurtosis_240min
24,1,x_volume_profile_60min,0.345142819444392,x_volume_profile_60min
