date,x_ma_ret_1h,x_ma_ret_2h,x_ma_ret_4h,x_ma_ret_6h,x_ma_ret_8h,x_ma_ret_12h,var_explained
2021-03-08 11:15:00,0.3967261751267247,0.4701364252432758,0.49788631482762435,0.48074199186914607,0.34276140149550255,0.15840157838445296,0.5326917166293941
2021-03-08 14:15:00,0.3969696440945298,0.4700469959064212,0.49521791764802386,0.47853826490096796,0.34644455146593045,0.16494677666540486,0.5352536750698368
2021-03-08 15:00:00,0.39275587998882194,0.4697938055770886,0.4952253101703717,0.4787908656794101,0.34935835546917515,0.16880917495235798,0.5348029401925103
2021-03-08 22:00:00,0.39237565147873726,0.46905585548415174,0.4953145278844524,0.4788865929918438,0.3499564954442063,0.1699692718650726,0.5346615585857071
2021-03-08 23:00:00,0.3911274724655748,0.46881692833323707,0.4953432634078472,0.4790522461176231,0.3507841447220756,0.17124388657293982,0.534258160371527
2021-03-09 10:00:00,0.39142792807287335,0.4689759565155369,0.49525618558047796,0.4792496639221766,0.3502926232085421,0.17082704041031704,0.5337593078322879
2021-03-09 11:15:00,0.3913507486545306,0.46906946268257954,0.49508295973593236,0.47933225298949605,0.35027392620366005,0.17105572644962835,0.5334018035657121
2021-03-09 14:15:00,0.391634321852635,0.469279376833178,0.49486891298956115,0.47881920079366935,0.35037701162171586,0.17167500126975138,0.5332429871887845
2021-03-09 15:00:00,0.3914138424904047,0.4695189970429533,0.49498392747719694,0.4787658735439078,0.35008701332712155,0.17193123128553386,0.5329521344222939
2021-03-09 22:00:00,0.39237335420006964,0.4697854165161519,0.4952567674094999,0.4791524586283507,0.3490666987102134,0.16920670471226545,0.5331131044414421
2021-03-09 23:00:00,0.392021327878277,0.46963571379965074,0.49521477030521055,0.4790235155267889,0.3495489592404002,0.16992911095604663,0.5328913098640143
2021-03-10 10:00:00,0.39191724515216286,0.46929068398921536,0.4951098654693574,0.4791881646871361,0.3498937424912375,0.1702539860838443,0.5323958421835117
2021-03-10 11:15:00,0.39216161828554585,0.469401811115963,0.49522541351984195,0.47938025259185585,0.349444351072317,0.169429081321457,0.532206423522549
2021-03-10 14:15:00,0.3924401487951445,0.4695917636282124,0.4951559936286881,0.4796149214175658,0.3489522493856624,0.1688096618149706,0.5320198317029965
2021-03-10 15:00:00,0.39264184868028423,0.46975748911166915,0.4953407271419152,0.4797933992009777,0.34837536442454037,0.16802006924229623,0.5318527461115518
2021-03-10 22:00:00,0.3926857703293768,0.4697614206142824,0.49484058544149745,0.47973039625100605,0.3487498943102581,0.16878135742619133,0.5318763124689883
2021-03-10 23:00:00,0.39258088014532255,0.46960676175073324,0.49462415475582894,0.47937255332743794,0.3493607425443767,0.16984026047898707,0.5318742232938847
2021-03-11 10:00:00,0.3919920075989408,0.46970965053155456,0.4946694468277017,0.4791704631007447,0.3497499287504108,0.17055176100572098,0.5318060308069078
2021-03-11 11:15:00,0.3917581689526947,0.4696727571873103,0.4946805427686194,0.47917740567705386,0.3498991652599799,0.17083262820674308,0.5316813992699021
2021-03-11 14:15:00,0.39173117706379235,0.4697419006349396,0.4948787740877879,0.47927781756414356,0.349602402893547,0.17045575421049255,0.5314294431438289
2021-03-11 15:00:00,0.391886641774194,0.46978883918352266,0.494816185884226,0.47936804483828727,0.3494143112397377,0.17028260467031914,0.531252191179896
2021-03-11 22:00:00,0.39199524568891625,0.46990617680113345,0.49462422574327203,0.47931631585757656,0.34937120716721154,0.1705004886343196,0.5311220373914513
2021-03-11 23:00:00,0.39204047009296433,0.46994546248828073,0.4939909166610212,0.4784156171150378,0.35054772585450233,0.1722303560672204,0.531640711249217
2021-03-12 10:00:00,0.39106648292543006,0.47000542535153644,0.49396141334863586,0.4781640295913351,0.3513299239805127,0.17346605868554688,0.5316725539408254
2021-03-12 11:15:00,0.3907607716630459,0.4699127255989043,0.4940133110292171,0.47820481411732724,0.3514902829176084,0.17382069768865827,0.5315767394565953
2021-03-12 14:15:00,0.3904214692252067,0.46953569073794965,0.49319674058267376,0.477410095021896,0.35300463500336826,0.17700738800179394,0.5329109649114555
2021-03-12 15:00:00,0.3890178048661269,0.46958073819063084,0.4927233030920623,0.47728863679961986,0.3542230085171638,0.179177124171975,0.5332349322441471
2021-03-15 10:00:00,0.3884380254533271,0.46942605095872314,0.4929206403587236,0.4775147854401458,0.35425507263116446,0.17963100671294363,0.532954101225504
2021-03-15 11:15:00,0.38837239655178685,0.46929617565479875,0.49311782880918736,0.47762997423067,0.35401099012673204,0.17974597244115037,0.5327697669600467
2021-03-15 14:15:00,0.3884263402158305,0.4693827389406784,0.49289668717369073,0.4776928919999723,0.3539108203180141,0.18003974721937616,0.5326846982653108
2021-03-15 15:00:00,0.3883079487915478,0.4694747603813286,0.4928126902324776,0.4778067895925223,0.3538463849227513,0.18010953975958863,0.5325456390169381
2021-03-15 22:00:00,0.3886954927097007,0.4696689658145041,0.49320002250213885,0.47814308770412833,0.3528671407140952,0.17873047581990062,0.5322088943701099
2021-03-15 23:00:00,0.38907576575793007,0.4697998120372887,0.4934337445915576,0.47829458178624257,0.35217722670800095,0.1778674192485733,0.531944281444625
2021-03-16 10:00:00,0.38931751212130855,0.46988554185858644,0.4935337664868579,0.47844043448567874,0.351841490773103,0.17710502439216308,0.531768345722679
2021-03-16 11:15:00,0.38953796454804523,0.4699645806209688,0.4936303572923729,0.4785632857097526,0.35151529032674955,0.17645599942794232,0.5316386461182963
2021-03-16 14:15:00,0.3896960338009413,0.47004441828744903,0.4937317890655823,0.4785513015076411,0.35129452531555033,0.17608229567845302,0.5315085524183545
2021-03-16 15:00:00,0.38989345065028735,0.47012257181866035,0.4938737890450296,0.47862988459047684,0.3509647230632297,0.1754814572625365,0.5313612732950859
2021-03-16 22:00:00,0.39075841793528193,0.4702860264206722,0.4939591403666716,0.4786690044802955,0.3502593553109724,0.17417705928558688,0.5319025984429423
2021-03-16 23:00:00,0.3914169302284761,0.47050050296279267,0.4939690679885565,0.47868822500945307,0.34977142734715794,0.17301489866951822,0.5329818098881353
2021-03-17 10:00:00,0.39109019300671954,0.4706409395586426,0.49395223817246164,0.4788314176093495,0.34991969291102526,0.17272358082501388,0.5331793460674578
2021-03-17 11:15:00,0.39100556165202144,0.4702503208449873,0.49388079400085383,0.4789781504143636,0.35041351439565044,0.17277542699696966,0.5330085239148707
2021-03-17 14:15:00,0.3926322884392236,0.4697814946351093,0.49274228315650087,0.47840287209666704,0.3512702093350471,0.1734652926855177,0.5363808180002874
2021-03-17 15:00:00,0.39013797834792363,0.47015983194045896,0.492537951410882,0.4784352514983746,0.3530638483005409,0.1749116515478199,0.5369681270682352
2021-03-17 22:00:00,0.38969884806482125,0.4691492779545767,0.4927462253983461,0.47855888856487827,0.3540733772640803,0.17563699455322443,0.5362916487811042
2021-03-17 23:00:00,0.38957496137228287,0.4683542793797777,0.49284602422201057,0.47874901178194695,0.35466754139305545,0.1760361714733785,0.5359241163513673
2021-03-18 10:00:00,0.3896748593176672,0.468325240550021,0.4926512011013073,0.4785904502471076,0.35493733046945236,0.17632481250365784,0.5357092490376214
2021-03-18 11:15:00,0.3897323151044794,0.4683510468137988,0.49251818223858473,0.4784294744797339,0.35510768871179044,0.17659452721683755,0.5356066643826969
2021-03-18 14:15:00,0.38988933244082735,0.4683328519961891,0.49230228662874453,0.47799074526368157,0.3554891766942333,0.17731722833835512,0.5360597380619533
2021-03-18 15:00:00,0.3902411133642309,0.46833944373232017,0.4917797429960354,0.4771392530531001,0.356227035252483,0.17878242591109555,0.537620888762745
2021-03-18 22:00:00,0.3896010907876929,0.46857299899800964,0.4917460597187411,0.47724672783181177,0.35622696441352986,0.1793712853739236,0.5374806962373264
2021-03-18 23:00:00,0.390045793973306,0.46803448928360103,0.49165051416982425,0.47729458652713,0.3562781051774771,0.17984314500242357,0.5378576316658067
2021-03-19 10:00:00,0.38961409899277344,0.46803227793015734,0.49157091330296415,0.4772413396992758,0.35666404511536187,0.1803777715796349,0.5381782661503286
2021-03-19 11:15:00,0.38952623250027435,0.4677979149653889,0.49150195969246613,0.47702841932112927,0.3571774784709101,0.18090987977385153,0.5381499289870373
2021-03-19 14:15:00,0.39029121746334233,0.46750212839890737,0.4911500878524986,0.47686657814173106,0.35768198965980436,0.18041058073282906,0.5395818729662901
2021-03-19 15:00:00,0.3896915809173874,0.4675624556423619,0.4910432575858336,0.47684225501504623,0.3583786322375171,0.18052302014706095,0.5401010654547963
2021-03-22 10:00:00,0.38966847583487046,0.4670830015851448,0.4909149717714086,0.47677982834267735,0.3590162986405817,0.1810600222505259,0.5405720216827662
2021-03-22 11:15:00,0.38931189967707314,0.466963868633517,0.4908377785286335,0.47678387556810475,0.35937700788863,0.18161653980019984,0.5405427464288288
2021-03-22 14:15:00,0.3893077343633473,0.46678670007498346,0.4909923724829142,0.4765960059070977,0.35956107280035104,0.181791740300945,0.5401706966128239
2021-03-22 15:00:00,0.3893908460338606,0.4666124745602457,0.49111263634049496,0.4764002361233721,0.3597358358334113,0.1819035169404924,0.5398858577731839
2021-03-22 22:00:00,0.3892760467251338,0.4666301688802156,0.4910925129003063,0.47640396758298864,0.35981622929994544,0.18198936648521763,0.5398328065155045
2021-03-22 23:00:00,0.38937500589088087,0.46660613854832245,0.4908952343231113,0.47601927217844175,0.36011481017776253,0.1827858341904488,0.5403338020555828
2021-03-23 10:00:00,0.3884798887113979,0.46666034842284576,0.49084236317650165,0.47604816549774936,0.36071653387566566,0.1834311753844146,0.540398655970115
2021-03-23 11:15:00,0.3881704494457832,0.46655481322527226,0.4909195395532604,0.4761359303466935,0.36081578924617874,0.18372494708599,0.5402903366496261
2021-03-23 14:15:00,0.3888899085600245,0.46608336164842656,0.48918653866636064,0.4740079408077953,0.36381412676826463,0.18757191318878397,0.5438194829896266
2021-03-23 15:00:00,0.38551432955895565,0.46620997934257846,0.4888882924504649,0.47398530846062115,0.3661638269214381,0.19046567561822608,0.5441917529434839
