trial,score,cv_score,fold_std,mean_abs_corr,n_factors,optional,all_factors
31,1.4990728139793403,1.9795842831134263,0.10285628808523675,0.13219366840229826,10,x_ma_ret_6h|x_ma_ret_12h|x_amihud_volatility_1|x_fractal_dimension|x_high_low_ratio_1|x_is_night_1|x_volume_ma_ratio|x_spread_12h,x_vwap|x_ma_ret_4h|x_ma_ret_6h|x_ma_ret_12h|x_amihud_volatility_1|x_fractal_dimension|x_high_low_ratio_1|x_is_night_1|x_volume_ma_ratio|x_spread_12h
29,1.4780346202444727,1.8651047348488852,0.3876356301852197,0.1482804584176492,9,x_ma_ret_20h|x_ma_ret_12h|x_amihud_volatility_1|x_fractal_dimension|x_high_low_ratio_1|x_volume_ma_ratio|x_spread_12h,x_vwap|x_ma_ret_4h|x_ma_ret_20h|x_ma_ret_12h|x_amihud_volatility_1|x_fractal_dimension|x_high_low_ratio_1|x_volume_ma_ratio|x_spread_12h
26,1.452873782863596,1.9882260322670273,0.47043943161839646,0.11542317071459311,11,x_ma_ret_20h|x_ma_ret_12h|x_amihud_volatility_1|x_fractal_dimension_1|x_high_low_ratio|x_price_delta_1|x_is_night_1|x_volume_ma_ratio|x_spread_12h,x_vwap|x_ma_ret_4h|x_ma_ret_20h|x_ma_ret_12h|x_amihud_volatility_1|x_fractal_dimension_1|x_high_low_ratio|x_price_delta_1|x_is_night_1|x_volume_ma_ratio|x_spread_12h
28,1.4032708143611003,1.9247385750256392,0.5255788031952098,0.11439008524347234,11,x_ma_ret_20h|x_ma_ret_12h|x_amihud_volatility_1|x_fractal_dimension|x_high_low_ratio_1|x_price_delta_1|x_is_night_1|x_volume_ma_ratio|x_spread_12h,x_vwap|x_ma_ret_4h|x_ma_ret_20h|x_ma_ret_12h|x_amihud_volatility_1|x_fractal_dimension|x_high_low_ratio_1|x_price_delta_1|x_is_night_1|x_volume_ma_ratio|x_spread_12h
30,1.2959619318555302,1.813442920696739,0.5384111084515985,0.13936104848992753,10,x_ma_ret_20h|x_ma_ret_12h|x_amihud_volatility_1|x_fractal_dimension|x_high_low_ratio_1|x_price_delta_1|x_volume_ma_ratio|x_spread_8h,x_vwap|x_ma_ret_4h|x_ma_ret_20h|x_ma_ret_12h|x_amihud_volatility_1|x_fractal_dimension|x_high_low_ratio_1|x_price_delta_1|x_volume_ma_ratio|x_spread_8h
18,1.2509254341750964,1.909320366497383,0.733319349228523,0.10094805029521445,12,x_ma_ret_20h|x_ma_ret_12h|x_amihud_volatility_1|x_fractal_dimension_1|x_high_low_ratio|x_trend_strength_1|x_price_delta_1|x_is_night_1|x_volume_ma_ratio|x_spread_12h,x_vwap|x_ma_ret_4h|x_ma_ret_20h|x_ma_ret_12h|x_amihud_volatility_1|x_fractal_dimension_1|x_high_low_ratio|x_trend_strength_1|x_price_delta_1|x_is_night_1|x_volume_ma_ratio|x_spread_12h
37,1.1367029585565365,1.6935990781033952,0.5517017813124809,0.09825923079413994,10,x_ma_ret_20h|x_ma_ret_12h|x_amihud_volatility_1|x_high_low_ratio_1|x_price_delta_volume_1|x_is_night_1|x_volume_ma_ratio|x_spread_12h,x_vwap|x_ma_ret_4h|x_ma_ret_20h|x_ma_ret_12h|x_amihud_volatility_1|x_high_low_ratio_1|x_price_delta_volume_1|x_is_night_1|x_volume_ma_ratio|x_spread_12h
16,1.0191452260890284,1.5286860385684702,0.6768200135490359,0.08736507505689647,7,x_ma_ret_12h|x_amihud_volatility_1|x_fractal_dimension_1|x_session_sin_1|x_volume_ma_ratio,x_vwap|x_ma_ret_4h|x_ma_ret_12h|x_amihud_volatility_1|x_fractal_dimension_1|x_session_sin_1|x_volume_ma_ratio
1,1.0114409836037102,1.6571451677323545,0.7208152273258115,0.09547621434993882,10,x_ma_ret_20h|x_ma_ret_12h|x_amihud_volatility_1|x_fractal_dimension_1|x_trend_strength_1|x_price_delta_1|x_session_sin_1|x_volume_ma_ratio,x_vwap|x_ma_ret_4h|x_ma_ret_20h|x_ma_ret_12h|x_amihud_volatility_1|x_fractal_dimension_1|x_trend_strength_1|x_price_delta_1|x_session_sin_1|x_volume_ma_ratio
38,0.7482736713135676,1.441365711516187,0.5756850599195951,0.12268460839843202,10,x_ma_ret_20h|x_ma_ret_12h|x_amihud_volatility|x_fractal_dimension|x_high_low_ratio|x_is_night_1|x_volume_ma_ratio|x_spread_12h,x_vwap|x_ma_ret_4h|x_ma_ret_20h|x_ma_ret_12h|x_amihud_volatility|x_fractal_dimension|x_high_low_ratio|x_is_night_1|x_volume_ma_ratio|x_spread_12h
