,"组合1（amihud_volat,price_volume...）","组合2（ma_ret_20h,price_volume...）","组合3（amihud_volat,price_volume...）","组合4（ma_ret_12h,price_volume...）","组合5（ma_ret_20h,price_volume...）"
"组合1（amihud_volat,price_volume...）",1.0,0.7265891977221012,0.8873731755976398,0.7859125795801319,0.8182339338550583
"组合2（ma_ret_20h,price_volume...）",0.7265891977221012,1.0,0.808344308349361,0.7733859856677064,0.9060600995854919
"组合3（amihud_volat,price_volume...）",0.8873731755976398,0.808344308349361,1.0,0.8343843340551214,0.8976894001065288
"组合4（ma_ret_12h,price_volume...）",0.7859125795801319,0.7733859856677064,0.8343843340551214,1.0,0.8529994532834639
"组合5（ma_ret_20h,price_volume...）",0.8182339338550583,0.9060600995854919,0.8976894001065288,0.8529994532834639,1.0
