,"组合1（linearreg_ma,ease_of_move...）","组合2（linearreg_ma,p_ret_12h...）","组合3（linearreg_ma,ease_of_move...）","组合4（linearreg_ma,price_channe...）","组合5（linearreg_ma,ease_of_move...）"
"组合1（linearreg_ma,ease_of_move...）",1.0,0.7478917445139217,0.9143323644652654,0.7730742039663859,0.8770548579308768
"组合2（linearreg_ma,p_ret_12h...）",0.7478917445139217,1.0,0.7624921973678654,0.638608733577327,0.7051689242738485
"组合3（linearreg_ma,ease_of_move...）",0.9143323644652654,0.7624921973678654,1.0,0.7595595969286489,0.8321467785227994
"组合4（linearreg_ma,price_channe...）",0.7730742039663859,0.638608733577327,0.7595595969286489,1.0,0.7962788464928522
"组合5（linearreg_ma,ease_of_move...）",0.8770548579308768,0.7051689242738485,0.8321467785227994,0.7962788464928522,1.0
