cluster_id,size,top_factor,best_res_ic_ir,candidates
1,2,x_vol_change_rate_60min,0.28031382588858883,x_vol_change_rate_60min | x_rel_vol_60min
2,1,x_is_night,0.7774760806100711,x_is_night
3,2,x_hurst_60min,0.3856554514964008,x_hurst_60min | x_kurtosis_240min
4,1,x_volume_profile_60min,0.3295124433729883,x_volume_profile_60min
5,1,x_liquidity_240min,0.2743964407564172,x_liquidity_240min
6,1,x_vpin_zscore_filtered_60min,0.7321582585559477,x_vpin_zscore_filtered_60min
7,1,x_vpin_zscore_60min,0.27416084909563915,x_vpin_zscore_60min
8,1,x_price_delta_trend_60min,0.7412011217222164,x_price_delta_trend_60min
9,2,x_intraday_return_240min,0.3601379405995021,x_intraday_return_240min | x_price_reversal_240min
10,2,x_fractal_dim_240min,0.35072758023175155,x_fractal_dim_240min | x_vpin_240min
11,1,x_cvd_60min,0.5145272998612753,x_cvd_60min
12,3,x_high_low_ratio_60min,0.4255561730418581,x_high_low_ratio_60min | x_high_low_ratio_240min | x_fractal_dim_60min
13,2,x_distribute_60min,0.8139368014260188,x_distribute_60min | x_trend_60min
14,3,x_overnight_vol_60min,0.3562747750706592,x_overnight_vol_60min | x_overnight_return_60min | x_gap_ratio_60min
15,1,x_absorption_60min,0.43994538866627914,x_absorption_60min
16,2,x_price_jump_60min,0.7718375315788225,x_price_jump_60min | x_price_jump_240min
17,5,x_ma_midday_ret,0.41716741124824713,x_ma_midday_ret | x_spread_1h | x_ma_ret_20h | x_ma_ret_6h | x_ma_bar_ret
18,1,x_trend_break_watch_60min,0.36518428526945595,x_trend_break_watch_60min
19,3,x_price_ma250_dev_240min,0.6138284828160387,x_price_ma250_dev_240min | x_boll_lower_60min | x_vwap_240min
20,4,x_ma20_ma60_240min,0.5179769986399274,x_ma20_ma60_240min | x_ma5_ma20_240min | x_ma20_ma60_60min | x_vwap_dev_240min
21,5,x_ma5_ma20_60min,0.45362557908612283,x_ma5_ma20_60min | x_money_flow_ratio_60min | x_mfi_60min | x_vwap_dev_60min | x_ease_of_movement_60min
22,2,x_price_channel_breakout_60min,0.3566869849957979,x_price_channel_breakout_60min | x_vol_weighted_return_60min
23,2,x_linearreg_ma_240min,0.39695218396636184,x_linearreg_ma_240min | x_price_channel_breakout_240min
24,1,x_hurst_240min,0.29370667661365246,x_hurst_240min
25,1,x_volume_profile_240min,0.29602094044917066,x_volume_profile_240min
